Identificatiodepth   NO3     NO2     NH4     Si      PO4
525/1_6            80    24.2    0.21    0.96    10.0    1.68
525/1_5           100    25.4    0.21    1.37    15.2    1.79
525/1_4           120    26.2    0.21    1.36    17.8    1.85
525/1_3           150    29.4    0.12    0.54    21.6    2.04
525/1_2           200    31.6    0.04    0.33    30.3    2.17
525/1_1           250    34.0    0.01    0.35    37.0    2.33
526/1_10           10    24.1    0.20    0.75    12.6    1.60
526/1_10           10    24.2    0.20    0.56    12.6    1.59
526/1_9            20    24.2    0.20    0.55    12.6    1.59
526/1_8            40    24.2    0.21    0.54    12.6    1.59
526/1_7            60    24.4    0.20    0.61    12.6    1.61
526/1_6            80    24.7    0.21    0.90    13.8    1.69
526/1_5           100    25.6    0.21    1.21    17.0    1.80
526/1_4           120    27.9    0.20    1.14    23.5    1.99
526/1_3           150    30.0    0.14    0.63    27.8    2.12
526/1_2           200    33.3    0.02    0.23    35.5    2.36
526/1_1           250    35.1    0.01    0.23    42.1    2.51
527/1_10           10    24.3    0.20    0.51    12.9    1.60
527/1_9            20    24.3    0.20    0.54    12.9    1.60
527/1_8            40    24.3    0.20    0.54    12.9    1.59
527/1_7            60    24.2    0.20    0.53    12.9    1.58
527/1_6            80    24.3    0.20    0.58    13.0    1.59
527/1_4           120    25.0    0.21    1.11    15.9    1.71
527/1_3           150    27.9    0.21    1.20    24.4    1.98
527/1_2           200    31.5    0.07    0.30    31.1    2.18
527/1_1           250    33.9    0.01    0.26    39.4    2.36
528/1_24           10    24.3    0.20    0.59    12.4    1.62
528/1_22           20    24.3    0.20    0.58    12.2    1.62
528/1_21           20    24.2    0.20    0.60    12.2    1.62
528/1_20           30    24.4    0.20    0.58    12.2    1.63
528/1_17           40    24.3    0.20    0.59    12.2    1.62
528/1_15           60    24.3    0.19    0.59    12.3    1.61
528/1_13           80    24.4    0.19    0.66    11.9    1.62
528/1_11           90    24.5    0.20    0.83    12.8    1.64
528/1_10           90    24.6    0.20    0.87    13.0    1.64
528/1_09          100    24.8    0.20    1.03    14.3    1.69
528/1_07          120    25.2    0.20    1.40    17.2    1.77
528/1_05          150    26.3    0.21    1.46    20.3    1.86
528/1_03          200    30.4    0.11    0.63    29.8    2.12
528/1_01          250    32.7    0.02    0.27    36.0    2.25
529/1_10           10    24.4    0.20    0.63    13.4    1.63
529/1_9            20    24.5    0.20    0.64    13.3    1.64
529/1_8            40    24.4    0.20    0.64    13.4    1.63
529/1_7            60    24.5    0.20    0.64    13.5    1.62
529/1_6            80    24.4    0.20    0.71    13.7    1.61
529/1_5           100    24.6    0.20    1.04    15.2    1.67
529/1_4           120    25.9    0.21    1.50    20.2    1.85
529/1_3           150    27.5    0.22    1.38    24.3    1.97
529/1_2           200    30.8    0.09    0.47    30.9    2.16
529/1_1           250    32.9    0.01    0.29    36.9    2.30
530/1_10           10    24.6    0.21            13.9    1.34
530/1_09           20    24.6    0.21            13.9    1.40
530/1_08           40    24.6    0.21            13.9    1.46
530/1_07           60    24.6    0.21            14.0    1.55
530/1_06           80    24.9    0.21            15.5
530/1_05          100    25.3    0.21            18.1    1.86
530/1_04          120    26.5    0.23            22.6
530/1_03          150    29.3    0.15            29.1
530/1_02          200    32.1    0.04            36.1
530/1_01          250    28.9    0.11            27.0
531/1_10           10    24.6    0.21            14.7
531/1_09           20    24.6    0.21            14.7
531/1_08           40    24.6    0.21            14.7
531/1_07           60    24.6    0.21            14.7
531/1_06           80    24.8    0.21            15.7
531/1_05          100    25.4    0.21            18.7
531/1_04          120    27.1    0.21            24.1
531/1_03          150    30.0    0.13            30.5
531/1_02          200    32.5    0.03            37.5
531/1_01          250    17.6    0.01            20.9
532/1_10           10    24.8    0.21            13.5    1.68
532/1_9            20    24.8    0.21            13.5    1.72
532/1_8            40    24.9    0.21            13.5    1.72
532/1_7            60    24.8    0.21            13.5    1.74
532/1_6            80    24.9    0.21            13.6    1.75
532/1_5           100    25.0    0.21            14.3    1.80
532/1_4           120    26.3    0.22            20.4    1.99
532/1_3           150    28.4    0.22            26.1    2.13
532/1_2           200    31.3    0.09            31.0    2.26
532/1_1           250    32.8    0.02            36.2    2.36
533/1_10           10    24.6    0.21            13.2    1.67
533/1_9            20    24.5    0.21            13.4    1.66
533/1_8            40    24.5    0.21            13.3    1.66
533/1_7            60    24.5    0.21            13.3    1.66
533/1_6            80    24.5    0.20            13.4    1.66
533/1_5           100    24.5    0.20            13.4    1.64
533/1_4           120    25.5    0.21            18.2    1.82
533/1_3           150    27.8    0.22            24.6    2.00
533/1_2           200    31.0    0.10            30.3    2.14
533/1_1           250    32.9    0.01            36.3    2.25
534/1_24           10    24.3    0.20            11.7    1.67
534/1_22           20    24.3    0.20            11.5    1.67
534/1_21           20    24.3    0.20            11.6    1.69
534/1_20           30    24.4    0.20            11.6    1.70
534/1_17           40    24.3    0.20            11.8    1.69
534/1_15           60    24.4    0.20            12.0    1.70
534/1_13           80    24.4    0.20            11.7    1.72
534/1_11           90    24.6    0.20    0.49    14.0    1.76
534/1_10           90    24.8    0.20    0.62    14.8    1.78
534/1_09          100    25.0    0.20    0.81    15.8    1.81
534/1_07          120    25.7    0.21    1.18    19.0    1.91
534/1_05          150    27.0    0.22    1.23    22.4    2.04
534/1_03          200    30.8    0.10    0.19    29.9    2.29
534/1_01          250    32.8    0.03    0.00    35.1    2.45
535/1_10           10    24.4    0.19            10.8    1.64
535/1_9            20    24.4    0.20            10.8    1.64
535/1_8            40    24.4    0.19            10.7    1.64
535/1_7            60    24.4    0.19            10.7    1.65
535/1_6            80    24.4    0.19            10.8    1.66
535/1_5           100    24.8    0.19            13.2    1.75
535/1_4           120    26.3    0.19            19.4    1.92
535/1_3           150    28.8    0.16            25.0    2.04
535/1_2           200    31.7    0.06            31.4    2.15
535/1_1           250    33.7    0.01            39.0    2.32
536/1_9            10    24.5    0.19             9.9    1.59
536/1_8            40    24.5    0.19            10.0    1.59
536/1_7            60    24.5    0.19            10.1    1.59
536/1_6            80    25.5    0.19            16.4    1.76
536/1_5           100    26.4    0.20            19.9    1.84
536/1_4           120    27.2    0.20            22.0    1.89
536/1_3           150    30.3    0.12            28.5    2.06
536/1_2           200    32.8    0.02            34.6    2.19
536/1_1           250    33.9    0.02            38.6    2.32
537/1_10           10    24.5    0.20            11.2    1.64
537/1_9            20    24.5    0.20            11.2    1.63
537/1_8            40    24.4    0.20            11.3    1.63
537/1_7            60    24.5    0.20            11.4    1.65
537/1_6            80    24.8    0.20            12.4    1.68
537/1_5           100    25.9    0.20            17.4    1.86
537/1_4           120    27.3    0.20            20.6    1.97
537/1_3           150    30.4    0.12            27.3    2.16
537/1_2           200    32.5    0.02            33.3    2.30
537/1_1           250    34.0    0.01            38.6    2.42
538/1_10           10    24.5    0.20            10.1    1.65
538/1_9            20    24.5    0.20            10.1    1.64
538/1_8            40    24.5    0.20            10.0    1.64
538/1_7            60    24.5    0.19            10.3    1.63
538/1_6            80    24.8    0.20            12.1    1.69
538/1_5           100    25.8    0.20            18.3    1.84
538/1_4           120    26.5    0.21            20.6    1.88
538/1_3           150    28.7    0.19            26.0    2.00
538/1_2           200    31.9    0.02            32.5    2.13
538/1_1           250    33.5    0.01            38.5    2.24
539/1_10           10    24.5    0.20    0.38    10.9    1.70
539/1_9            20    24.5    0.20    0.38    10.8    1.69
539/1_8            40    24.5    0.20    0.39    10.8    1.68
539/1_7            60    24.5    0.20    0.41    10.8    1.70
539/1_6            80    24.8    0.20    0.75    12.6    1.75
539/1_5           100    25.3    0.20    1.04    15.9    1.85
539/1_4           120    25.9    0.21    1.21    19.0    1.89
539/1_2           200    31.5    0.07    0.04    31.4    2.28
539/1_1           250    32.9    0.02    0.04    36.1    2.40
540/1_24           10    24.2    0.20    0.25    11.3    1.67
540/1_22           20    24.2    0.20    0.68    11.5    1.66
540/1_21           20    24.2    0.20    0.49    11.5    1.68
540/1_20           30    24.2    0.20    0.16    11.5    1.69
540/1_17           40    24.2    0.20    0.14    11.5    1.66
540/1_15           60    24.2    0.20    0.15    11.5    1.64
540/1_13           80    24.2    0.20    0.28    11.4    1.66
540/1_11          100    24.2    0.20    0.26    11.5    1.66
540/1_10          100    24.2    0.20    0.28    11.5    1.68
540/1_09          110    24.5    0.20    0.57    12.8    1.73
540/1_07          120    25.1    0.20    1.03    16.3    1.85
540/1_05          150    26.2    0.21    1.18    20.8    2.01
540/1_03          200    30.2    0.12    0.31    29.0    2.28
540/1_01          250    32.2    0.03    0.00    33.7    2.39
541/1_10           10    24.8    0.20    0.40    12.9    1.73
541/1_9            20    24.8    0.20    0.39    13.0    1.71
541/1_8            40    24.7    0.21    0.38    13.0    1.69
541/1_7            60    24.7    0.21    0.40    13.0    1.68
541/1_6            80    24.7    0.20    0.41    13.1    1.68
541/1_5           100    24.7    0.21    0.45    13.3    1.69
541/1_4           120    25.6    0.21    1.18    19.4    1.88
541/1_2           200    31.2    0.08    0.08    31.3    2.27
541/1_1           250    33.1    0.01    0.00    37.8    2.44
543/8_24           10    24.1    0.21    0.35    12.5    1.69
543/8_23           30    24.1    0.21    0.34    12.4    1.67
543/8_22           60    24.1    0.21    0.32    12.4    1.68
543/8_21           80    24.1    0.21    0.35    12.5    1.69
543/8_20           80    24.2    0.21    0.42    12.5    1.68
snatch            100    24.2    0.21    0.42    13.0    1.72
543/8_18          120    24.8    0.22    0.82    15.1    1.81
543/8_16          150    27.9    0.21    0.94    23.9    2.12
543/8_14          200    31.6    0.07    0.06    30.7    2.31
543/8_12          250    33.5    0.02    0.02    37.3    2.47
543/8_11          300    35.7    0.02    0.00    46.3    2.67
543/8_9           350    37.3    0.02    0.00    54.9    2.83
543/8_8           400    38.0    0.01    0.05    61.5    2.89
543/8_6           500    38.1    0.01    0.07    68.2    2.89
543/8_4           600    37.9    0.01    0.06    71.3    2.89
543/8_3           650    36.8    0.01    0.05    71.3    2.78
543/8_2           700    36.5    0.00    0.05    71.2    2.77
543/8_1           800    36.2    0.00    0.04    74.2    2.71
543/10_24          10    24.1    0.20    0.37    12.7    1.68
543/10_22          20    24.2    0.20    0.37    12.6    1.68
543/10_21          20    24.2    0.20    0.37    12.8    1.70
543/10_20          30    24.1    0.20    0.37    12.8    1.72
543/10_17          40    24.1    0.20    0.37    12.7    1.71
543/10_15          60    24.1    0.19    0.39    12.7    1.64
543/10_13          80    23.2    1.13    0.44    12.7    3.30
543/10_11         100    24.2    0.19    0.44    13.0    1.63
543/10_10         100    24.3    0.19    0.51    13.4    1.68
543/10_09         120    24.9    0.20    0.92    15.9    1.80
543/10_07         140    27.4    0.21    1.06    23.4    2.08
543/10_05         150    27.7    0.21    1.02    24.1    2.12
543/10_03         200    32.1    0.02    0.02    33.2    2.39
543/10_01         250    34.0    0.01    0.02    40.8    2.57
543/15_23          10    24.1    0.20    0.36    12.3    1.69
543/15_20          20    24.1    0.20    0.38    12.2    1.68
543/15_17          30    24.1    0.20    0.50    12.4    1.70
543/15_15          40    24.1    0.20    0.41    12.4    1.68
543/15_13          60    24.1    0.20    0.48    12.6    1.68
543/15_11          80    24.6    0.20    0.76    14.3    1.79
543/15_09          90    25.3    0.21    1.02    16.4    1.90
543/15_08         100    27.2    0.21    1.08    22.2    2.12
543/15_07         120    28.8    0.17    0.70    25.1    2.24
543/15_06         150    31.0    0.09    0.13    29.4    2.40
543/15_05         200    32.7    0.02    0.05    35.4    2.55
544/5_16           10    23.4    0.20    0.37    11.9    1.61
544/5_11           20    23.8    0.19    0.36    11.9    1.59
544/5_9            30    23.7    0.19    0.37    11.8    1.60
544/5_7            40    23.7    0.19    0.38    11.9    1.57
544/5_5            60    23.8    0.19    0.45    12.0    1.58
544/5_3            80    24.0    0.20    0.70    13.0    1.65
544/5_1           100    25.6    0.20    1.39    18.5    1.81
544/7_7            10    23.8    0.20    0.39    11.9    1.57
544/7_6            20    23.7    0.19    0.39    12.0    1.58
544/7_5            30    23.7    0.19    0.36    12.0    1.58
544/7_4            40    23.7    0.19    0.38    11.9    1.59
544/7_3            60    23.8    0.19    0.42    11.9    1.58
544/7_2            80    23.8    0.19    0.44    12.0    1.59
544/7_1           100    24.4    0.20    0.78    13.6    1.65
544/9_17           10    23.9    0.19    0.39    11.8    1.56
544/9_15           20    23.8    0.19    0.39    11.9    1.54
544/9_13           30    23.8    0.19    0.39    11.9    1.56
544/9_11           40    23.7    0.19    0.39    11.9    1.56
544/9_9            60    24.2    0.20    0.39    11.9    1.56
544/9_7            80    24.1    0.20    0.40    11.9    1.55
544/9_5           100    24.3    0.20    0.54    12.4    1.59
544/9_3           120    25.3    0.21    1.19    17.4    1.75
544/9_1           150    27.7    0.21    1.20    24.0    1.92
544/11_7           10    23.9    0.20    0.41    11.8    1.58
544/11_6           20    23.9    0.20    0.40    11.9    1.57
544/11_5           30    23.9    0.20    0.41    11.9    1.58
544/11_4           40    24.0    0.19    0.42    11.9    1.58
544/11_3           60    24.0    0.20    0.49    12.1    1.59
544/11_2           80    24.3    0.20    0.66    12.9    1.62
544/11_1          100    24.4    0.20    0.76    13.7    1.66
544/14_17          10    24.0    0.20    0.49    11.9    1.62
544/14_15          20    24.0    0.18    0.49    11.9    1.59
544/14_13          30    24.0    0.19    0.49    11.9    1.61
544/14_11          40    23.9    0.19    0.49    11.9    1.59
544/14_09          60    23.9    0.19    0.48    11.9    1.58
544/14_07          80    24.0    0.20    0.48    11.9    1.58
544/14_05         100    24.1    0.21    0.59    12.6    1.61
544/14_03         120    24.6    0.21    0.87    14.5    1.68
544/14_01         150    26.6    0.23    1.35    22.0    1.86
544/18_22          10    24.1    0.20    0.46    11.6    1.56
544/18_20          20    24.2    0.20    0.45    11.6    1.56
544/18_17          30    24.2    0.21    0.47    11.6    1.57
544/18_15          40    24.2    0.21    0.48    11.5    1.57
544/18_13          60    24.2    0.21    0.49    11.6    1.58
544/18_11          80    24.2    0.21    0.47    11.6
544/18_10         100    24.3    0.21    0.57    11.8
544/18_09         100    24.4    0.21    0.60    11.9    1.59
544/18_07         110    25.3    0.21    1.26    16.2    1.71
544/18_05         120    26.0    0.21    1.46    18.8    1.78
544/18_03         150    28.6    0.20    1.09    25.9    1.94
544/18_01         200    32.2    0.05    0.18    32.9    2.10
544/24_17          10    24.0    0.20    0.38    11.5    1.58
544/24_15          20    24.1    0.20    0.39    11.5    1.60
544/24_13          30    24.1    0.20    0.41    11.4    1.58
544/24_11          40    24.1    0.20    0.44    11.5    1.58
544/24_09          60    24.2    0.20    0.46    11.5    1.58
544/24_07          80    24.2    0.19    0.45    11.5    1.58
544/24_05         100    24.3    0.20    0.49    11.5    1.60
544/24_03         120    25.0    0.20    0.97    14.2    1.71
544/24_01         150    27.8    0.20    1.18    23.3    1.93
544/29_18          10    24.1    0.20    0.46    11.3    1.58
544/29_16          20    24.1    0.20    0.46    11.3    1.56
544/29_13          30    24.1    0.20    0.49    11.4    1.58
544/29_11          40    24.1    0.20    0.53    11.4    1.58
544/29_9           60    24.2    0.20    0.55    11.5    1.60
544/29_7           80    24.2    0.20    0.59    11.7    1.58
544/29_5          100    24.2    0.20    0.60    11.8    1.57
544/29_3          120    24.2    0.20    0.46    11.4    1.55
544/29_1          150    26.5    0.21    1.46    20.6    1.84
544/35_21          10    24.1    0.20    0.50    11.4    1.58
544/35_15          20    24.1    0.20    0.51    11.5    1.54
544/35_13          30    24.1    0.20    0.50    11.5    1.54
544/35_11          40    24.1    0.20    0.53    11.5    1.56
544/35_09          60    24.1    0.20    0.61    11.6    1.54
544/35_07          80    24.1    0.20    0.62    11.7    1.55
544/35_05         100    25.0    0.20    1.15    15.2    1.67
544/35_03         120    25.7    0.21    1.42    18.6    1.76
544/35_01         150    27.8    0.22    1.31    24.3    1.91
544/42_17          10    24.0    0.20    0.37    11.2    1.53
544/42_15          20    24.0    0.20    0.35    11.2    1.46
544/42_13          30    24.1    0.20    0.38    11.2    1.43
544/42_11          40    24.0    0.20    0.37    11.4    1.40
544/42_09          60    24.0    0.20    0.44    11.6    1.41
544/42_07          80    24.1    0.20    0.47    11.7    1.36
544/42_05         100    24.1    0.20    0.50    11.9    1.34
544/42_03         120    25.1    0.21    1.15    16.6    1.45
544/42_01         150    27.4    0.21    1.19    22.8    1.58
544/48_17          10    24.1    0.20    0.46    11.2    1.61
544/48_15          20    24.1    0.20    0.50    11.5    1.60
544/48_13          30    24.0    0.20    0.55    11.4    1.59
544/48_11          40    24.0    0.20    0.68    11.2    1.58
544/48_9           60    24.0    0.20    0.84    11.2    1.62
544/48_7           80    24.0    0.20            11.3    1.62
544/48_5          100    24.9    0.21            15.7    1.74
544/48_3          120    25.9    0.21            19.1    1.83
544/48_1          150    28.8    0.18            26.5    1.97
544/53_23          10    24.1    0.19    0.29    11.0    1.55
544/53_21          20    24.1    0.19    0.31    11.1    1.56
544/53_18          30    24.1    0.19    0.29    11.1    1.56
544/53_16          40    24.1    0.19    0.39    11.1    1.55
544/53_14          60    24.1    0.19    0.35    11.3    1.58
544/53_12          80    24.1    0.20    0.40    11.5    1.58
544/snatcher       80    24.1    0.20    0.34    11.2    1.57
544/53_10         100    25.1    0.21    1.07    16.1    1.72
544/53_08         110    25.9    0.22    1.24    19.3    1.81
544/53_06         120    26.2    0.22    1.26    20.1    1.83
544/53_04         150    28.8    0.19    0.88    26.1    1.98
544/53_02         200    31.2    0.09    0.16    30.5    2.09
544/53_01         250    33.0    0.02    0.05    35.9    2.19
544/56_17          10    24.0    0.20    0.32    10.1    1.55
544/56_15          20    24.2    0.21    0.30    10.2    1.52
544/56_13          30    24.1    0.21    0.32    10.4    1.54
544/56_11          40    24.2    0.21    0.33    10.5    1.54
544/56_09          60    24.1    0.21    0.37    10.6    1.52
544/56_07          80    24.0    0.21    0.44    11.0    1.53
544/56_05         100    24.4    0.21    0.74    12.8    1.57
544/56_03         120    26.3    0.23    1.27    21.5    1.77
544/56_01         150    27.7    0.22    1.06    25.1    1.84
544/60_24          10    23.9    0.20    0.37    11.0    1.56
544/60_22          30    24.0    0.20    0.34    11.0    1.55
544/60_20          60    23.9    0.20    0.38    11.1    1.54
544/60_17          90    24.0    0.20    0.51    11.5    1.55
544/60_16         120    24.9    0.21    1.03    15.4    1.67
544/60_14         150    27.9    0.21    1.09    24.3    1.91
544/60_13         200    30.9    0.10    0.34    29.9    2.02
544/60_10         250    33.0    0.01    0.09    35.8    2.15
544/60_9          300    34.6    0.01    0.09    43.0    2.25
544/60_6          350    36.4    0.02    0.08    52.7    2.37
544/60_5          400    37.6    0.01    0.09    61.0    2.45
544/60_4          500    38.1    0.00    0.09    69.6    2.49
544/60_3          600    37.8    0.00    0.09    74.4    2.47
544/60_2          750    36.8    0.00    0.09    78.2    2.42
544/60_1         1000    35.0    0.00    0.10    80.6    2.30
544/63_24          10    23.9    0.20    0.26    10.8    1.56
544/63_23          50    23.9    0.20    0.26    10.8    1.55
544/63_22         100    24.0    0.20    0.49    11.6
544/63_21         150    28.3    0.20    0.81    25.3    1.98
544/63_20         200    30.7    0.10    0.26    30.1
544/63_18         300    34.7    0.02    0.06    44.7    2.33
544/63_17         500    37.8    0.01    0.05    70.7
544/63_16         750    36.6    0.01    0.06    79.0    2.47
544/63_15        1000    35.0    0.01    0.06    82.2
544/63_14        1250    33.4    0.01    0.06    83.0
544/63_13        1500    32.3    0.01    0.06    83.0
544/63_05        2000    33.0    0.01    0.05    95.1    2.24
544/63_04        2500    33.9    0.01    0.06   106.5    2.32
544/63_03        3000    34.6    0.01    0.06   114.2    2.39
544/63_02        3500    35.0    0.01    0.06   119.8    2.40
544/63_01        4038    35.1    0.01    0.07   122.2    2.41
545/1_23           10    23.6    0.20    0.36    10.8    1.54
545/1_21           20    23.6    0.20    0.33    10.8    1.53
545/1_18           30    23.7    0.20    0.33    10.8    1.53
545/1_16           40    23.6    0.21    0.32    10.8    1.54
545/1_14           60    23.7    0.21    0.41    11.1    1.54
545/1_12           80    23.9    0.21    0.57    11.7    1.56
545/1_10          100    24.4    0.21    0.90    14.0    1.65
545/1_08          110    25.8    0.20    1.26    18.8    1.78
545/1_06          120    26.3    0.21    1.26    20.2    1.83
545/1_04          150    29.1    0.17    0.70    26.4    1.97
545/1_02          200    31.8    0.06    0.20    32.0    2.09
545/1_01          250    33.1    0.01    0.25    36.6    2.16
546/2_24           10    24.3    0.20    0.77     8.6    1.66
546/2_22           20    24.3    0.20    0.76     8.6    1.65
546/2_21           20    24.3    0.20    0.77     8.6    1.65
546/2_20           40    24.3    0.20    0.77     8.6    1.64
546/2_17           60    24.4    0.20    0.75     9.1    1.65
546/2_15           80    24.5    0.20    0.73     9.8    1.65
546/2_13          100    25.1    0.21    1.10    13.5    1.72
546/2_11          110    25.8    0.21    1.29    16.7    1.80
546/2_09          120    27.0    0.22    1.26    20.8    1.88
546/2_07          150    30.6    0.11    0.38    28.9    2.06
546/2_05          170    31.7    0.07    0.12    31.3    2.10
546/2_03          200    32.4    0.02    0.10    33.5    2.14
546/2_01          250    34.3    0.02    0.10    40.9    2.27
546/5_24           10    24.3    0.20    0.62     8.5    1.68
546/5_15           20    24.2    0.20    0.74     8.5    1.69
546/5_13           40    24.3    0.20    0.71     8.6    1.70
546/5_11           60    24.3    0.20    0.71     8.5    1.69
546/5_9            80    24.4    0.20    0.72     8.8    1.68
546/5_7           100    24.5    0.20    0.71     9.4    1.69
546/5_5           110    24.6    0.20    0.80    10.1    1.71
546/5_4           120    24.8    0.20    0.85    11.2    1.68
546/5_3           150    26.5    0.21    1.18    18.6    1.83
546/5_2           170    29.6    0.16    0.58    26.7    1.98
546/5_1           200    31.7    0.07    0.13    31.6    2.08
546/14_24          10    24.2    0.20    0.81     8.4    1.67
546/14_23          25    24.3    0.20    0.76     8.4    1.66
546/14_22          40    24.2    0.20    0.81     8.4    1.66
546/14_21          50    24.2    0.20    0.78     8.4    1.66
546/14_20          60    24.3    0.20    0.79     8.5    1.66
546/14_18          80    24.3    0.20    0.82     8.6    1.66
546/14_17         115    25.7    0.20    1.30    15.7    1.80
546/14_16         150    28.5    0.19    0.96    23.9    1.99
546/14_14         200    32.2    0.03    0.15    32.7    2.15
546/14_13         250    33.7    0.02    0.15    38.8    2.25
546/14_11         300    35.8    0.02    0.15    48.1    2.40
546/14_10         350    37.1    0.02    0.14    56.7    2.51
546/14_08         400    37.7    0.01    0.15    62.2    2.53
546/14_06         500    37.9    0.01    0.15    69.9    2.54
546/14_05         600    37.5    0.01    0.14    72.9    2.50
546/14_04         700    36.8    0.01    0.15    76.3    2.47
546/14_03         750    36.7    0.01    0.14    76.7    2.45
546/14_02         800    36.0    0.01    0.14    78.9    2.41
546/14_01        1000    34.3    0.00    0.13    78.5    2.31
546/22_24          40    24.2    0.20    0.74     8.3    1.68
546/22_23          80    24.4    0.20    0.87     9.9    1.70
546/22_22         100    25.6    0.21    1.26    16.6    1.82
546/22_21         120    26.8    0.21    1.24    19.6    1.89
546/22_20         150    29.8    0.15    0.57    26.8    2.05
546/22_18         200    32.2    0.02    0.08    32.6    2.14
546/22_17         250    33.6    0.02    0.08    37.7    2.24
546/22_15         350    36.9    0.02    0.07    54.7    2.47
546/22_13         400    37.6    0.01    0.07    61.1    2.53
546/22_11         500    37.9    0.00    0.30    68.9    2.55
546/22_9          750    36.6    0.00    0.09    76.4    2.45
546/22_7         1000    34.8    0.00    0.08    78.6    2.33
546/22_5         2000    33.2    0.00    0.08    94.0    2.23
546/22_3         3000    34.6    0.00    0.07   110.0    2.33
546/22_1         3700    35.2    0.00    0.08   119.2    2.38
553/3_24           10    23.5    0.20    0.26     9.7    1.61
553/3_22           15    23.5    0.19    0.27     9.7    1.60
553/3_21           15    23.5    0.19    0.26     9.7    1.57
553/3_20           25    23.5    0.20    0.27     9.7    1.55
553/3_17           40    23.5    0.20    0.29     9.8    1.56
553/3_15           50    23.7    0.20    0.43    10.0    1.55
553/3_13           80    23.9    0.19    0.49    10.4    1.57
553/3_10           90    23.9    0.20    0.53    10.6    1.66
553/3_10           90    23.9    0.19    0.53    10.6    1.65
553/3_9           100    24.0    0.20    0.59    10.8    1.66
553/3_7           120    24.2    0.20    0.73    11.9    1.68
553/3_5           150    26.0    0.22    1.27    19.2    1.89
553/3_3           200    29.8    0.14    0.56    27.7    2.07
553/3_1           250    32.5    0.02    0.01    33.6    2.19
553/5_24           20    23.5    0.19    0.26     9.7    1.55
553/5_15           25    23.5    0.19    0.30     9.9    1.55
553/5_13           30    23.7    0.19    0.47    10.4    1.58
553/5_11           50    23.8    0.20    0.57    10.5    1.59
553/5_9            50    23.8    0.19    0.57    10.6    1.61
553/5_7            80    23.9    0.19    0.65    10.8    1.62
553/5_5            90    24.0    0.19    0.68    11.2    1.62
553/5_4           100    24.1    0.20    0.74    11.9    1.65
553/5_3           120    25.3    0.21    1.12    17.2    1.77
553/5_2           150    26.5    0.22    1.19    21.3    1.89
553/5_1           200    30.1    0.12    0.41    28.8    2.08
553/10_24          10    23.4    0.20    0.27     9.3    1.56
553/10_23          40    23.4    0.20    0.28     9.3    1.56
553/10_20          60    23.5    0.19    0.33     9.5    1.55
553/10_18          90    23.8    0.19    0.43    10.1    1.57
553/10_17         120    24.8    0.20    1.01    14.7    1.72
553/10_16         150    26.4    0.22    1.24    20.7    1.87
553/10_14         200    31.8    0.05    0.05    31.7    2.14
553/10_13         250    33.9    0.02    0.02    39.7    2.27
553/10_11         300    35.8    0.02    0.02    49.2    2.42
553/10_10         350    37.1    0.01    0.01    57.4    2.50
553/10_8          400    37.6    0.01    0.02    63.1    2.53
553/10_7          450    37.8    0.01    0.02    67.4    2.54
553/10_5          500    37.7    0.01    0.01    70.4    2.55
553/10_4          600    37.5    0.01    0.02    74.0    2.54
553/10_2          800    35.8    0.01    0.03    78.0    2.43
553/10_1         1000    34.5    0.01    0.02    79.2    2.34
553/12_24         100    24.9    0.21    1.06    15.4    1.76
553/12_22         120    26.5    0.23    1.29    21.2    1.91
553/12_20         150    28.7    0.21    0.90    26.0    2.02
553/12_16         200    31.8    0.06    0.04    31.6    2.15
553/12_13         250    33.8    0.03    0.03    39.3    2.28
553/12_09         350    37.3    0.02    0.04    58.6    2.53
553/12_05         450    37.8    0.01    0.04    67.2    2.57
553/12_01         550    37.7    0.01    0.04    72.3    2.57
555/1_11           20    23.6    0.21    0.42     9.9    1.58
555/1_09          100    23.6    0.20    1.22    15.1    1.72
555/1_07          120     0.2    0.22    1.42    22.1    1.85
555/1_05          150    25.3    0.21    1.08    26.8    1.97
555/1_03          200    31.1    0.07    0.06    32.6    2.10
555/1_01          500    37.2    0.01    0.05    59.5    2.53
556/1_11           20    23.3    0.20    0.43     9.7    1.52
556/1_09          100    22.9    0.20    1.02    13.5    1.65
556/1_07          120    23.7    0.22    1.36    20.4    1.82
556/1_05          150     0.1    0.13    0.56    28.6    2.03
556/1_03          200    32.2    0.02    0.06    35.9    2.17
556/1_01          500    37.4    0.01    0.05    59.9    2.52
557/1_11           20    24.5    0.20    0.60            1.64
557/1_9            90    25.1    0.20    0.94            1.78
557/1_7           120    26.1    0.20    1.19            1.80
557/1_5           150    29.2    0.18    0.82            1.98
557/1_3           200    32.5    0.02    0.01            2.12
557/1_1           500    38.5    0.00    0.00            2.53
558/1_11           20    24.8    0.19    0.32            1.61
558/1_11           20    24.6    0.19    0.32            1.61
558/1_9           100    24.8    0.19    0.82            1.70
558/1_7           120    25.6    0.21    1.33            1.83
558/1_5           150    27.3    0.22    1.12            1.95
558/1_3           200    31.6    0.09    0.14            2.08
558/1_1           500    38.3    0.00    0.01            2.55
559/1_14           20    23.1    0.19    0.26     9.2    1.53
559/1_11           60    23.4    0.18    0.45     9.9    1.54
559/1_9            80    23.7    0.17    0.75    11.3    1.60
559/1_7           120    25.4    0.20    1.25    18.8    1.80
559/1_5           150    28.1    0.19    0.97    25.6    1.95
