Station,cast,stationcast,days after fertilization,0-100,100-200,200-300,300-400,400-500,500-1000,1000-2000,2000-3000,in(1)/out(0)/others(2/3/10)
485,1,48501,6.484027778,8.7649,2.6388,1.3516,0.9592,0.6811,nan,nan,nan,3
486,1,48601,6.560416667,9.01,4.1099,1.4321,1.13,0.8809,nan,nan,nan,3
487,1,48701,6.630555556,5.6783,1.7205,0.6601,0.4761,0.3499,nan,nan,nan,3
488,1,48801,6.694444444,7.4265,1.5902,0.6163,0.4519,0.3552,nan,nan,nan,3
489,1,48901,6.759722222,8.5326,2.6078,0.7112,0.5243,0.3851,nan,nan,nan,3
490,1,49001,6.819444444,7.1369,1.8349,0.7446,0.4376,0.3313,nan,nan,nan,3
491,1,49101,6.881944444,6.6539,0.9143,0.6634,0.4747,0.3842,nan,nan,nan,3
492,1,49201,6.940972222,7.9773,1.3279,0.7886,0.5523,0.4143,nan,nan,nan,3
493,1,49301,6.004861111,8.585,2.9108,1.0786,0.7001,0.4417,nan,nan,nan,3
494,1,49401,7.06875,9.4669,3.1858,1.1255,0.9532,0.7118,nan,nan,nan,3
495,1,49501,7.133333333,8.6684,2.0623,1.2671,0.9598,0.8128,nan,nan,nan,3
496,1,49601,7.199305556,9.9311,2.6691,1.4141,1.0222,0.8011,nan,nan,nan,3
497,1,49701,7.266666667,9.6716,3.7825,1.6129,0.9574,0.7689,nan,nan,nan,3
498,1,49801,7.329166667,10.7518,4.8961,1.718,1.02,0.6845,nan,nan,nan,3
499,1,49901,7.39375,9.5871,3.6842,1.3812,0.9231,0.7823,nan,nan,nan,3
500,1,50001,7.460416667,9.8338,2.1594,1.285,1.0124,0.7878,nan,nan,nan,3
501,1,50101,7.528472222,8.4238,2.9698,1.2587,0.8883,0.7753,nan,nan,nan,3
502,1,50201,7.602083333,7.8715,2.235,0.9189,0.6719,0.4256,nan,nan,nan,3
503,1,50301,7.673611111,6.09,1.1938,0.723,0.5122,0.4344,nan,nan,nan,3
504,1,50401,7.744444444,7.4478,1.5542,0.7233,0.5205,0.4248,nan,nan,nan,3
505,1,50501,7.8125,6.7978,1.1949,0.7364,0.4775,0.3979,nan,nan,nan,3
506,1,50601,7.879861111,7.4818,1.4989,0.7414,0.6661,0.4756,nan,nan,nan,3
507,1,50701,7.948611111,5.1984,1.3121,0.8272,0.6011,0.3967,nan,nan,nan,3
508,2,50802,9.354166667,10.7621,4.1357,1.2687,0.9081,0.5218,nan,nan,nan,1
508,16,50816,9.704166667,11.327,2.7803,1.1735,0.869,0.5715,nan,nan,nan,1
508,18,50818,9.857638889,11.1726,6.6062,1.5381,0.9506,nan,nan,nan,nan,1
509,1,50901,10.25833333,8.8908,3.4194,1.4096,1.0051,0.6832,nan,nan,nan,0
509,13,50913,10.50416667,10.0704,3.6771,1.5292,1.0456,0.7161,nan,nan,nan,0
511,1,51101,11.78958333,11.1923,4.6403,1.2787,0.864,0.5192,nan,nan,nan,2
511,9,51109,11.90347222,10.8154,3.3308,1.215,0.8641,0.5357,nan,nan,nan,2
513,3,51303,14.79652778,12.2312,3.8299,1.3574,0.8717,0.5396,nan,nan,nan,1
513,12,51312,15.05,10.7378,4.99,1.433,0.8334,0.579,nan,nan,nan,1
513,16,51316,15.11736111,10.6849,3.6532,1.317,0.8975,0.6368,nan,nan,nan,1
514,2,51402,16.75347222,7.7639,3.6098,1.2439,0.8526,0.5665,nan,nan,nan,0
514,13,51413,16.95625,6.9365,2.6643,1.4025,0.8777,0.6324,nan,nan,nan,0
515,1,51501,17.64097222,11.9409,6.3189,1.711,0.9447,0.5674,nan,nan,nan,1
516,1,51601,17.70069444,11.4396,4.4693,1.3196,0.7848,0.5192,nan,nan,nan,2
517,1,51701,17.75,10.2907,4.2599,1.4425,0.9668,0.602,nan,nan,nan,2
518,1,51801,17.82291667,9.1698,3.3521,1.3189,0.9248,0.5618,nan,nan,nan,2
519,1,51901,17.90069444,8.3068,2.536,1.3507,0.8961,0.5947,nan,nan,nan,2
520,1,52001,17.95277778,9.3887,3.9288,1.3195,0.8867,0.592,nan,nan,nan,0
521,1,52101,18.69236111,10.6379,4.3265,1.2877,0.8169,0.4587,nan,nan,nan,2
522,1,52201,18.73472222,14.4581,3.2235,1.3037,0.9382,0.5638,nan,nan,nan,1
523,1,52301,18.79166667,12.273,4.4793,1.376,0.948,0.5644,nan,nan,nan,2
524,1,52401,18.83263889,10.0708,4.2601,1.4205,0.9072,0.6761,nan,nan,nan,2
525,1,52501,18.88819444,7.5356,3.0823,1.5575,0.817,0.5841,nan,nan,nan,0
526,1,52601,18.93472222,10.8578,3.485,1.3094,0.8975,0.643,nan,nan,nan,2
527,1,52701,18.98194444,11.7549,3.5749,1.3451,0.877,0.584,nan,nan,nan,1
528,1,52801,19.03194444,10.7085,3.3372,1.4175,1.0373,0.6488,nan,nan,nan,2
529,1,52901,19.08611111,11.3642,3.5805,1.3742,0.9623,0.5963,nan,nan,nan,2
530,1,53001,19.13680556,8.5998,3.5961,1.3071,0.8498,0.5446,nan,nan,nan,0
