Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	591	B	3/19/2004	2.4555	-49.4008	244.603	10.57	1	10.662	1	4.2375	1	33.8713	1	2127.89	1	2293.1	1		1		1		1		1		1
ANTXXI/3	591	B	3/19/2004	2.4555	-49.4008	244.603	19.179	1	19.346	1	4.2379	1	33.8714	1	2127.61	1	2291.6	1		1		1		1		1		1
ANTXXI/3	591	B	3/19/2004	2.4555	-49.4008	244.603	26.886	1	27.121	1	4.2375	1	33.8714	1	2127.72	1	2291.7	1		1		1		1		1		1
ANTXXI/3	591	B	3/19/2004	2.4555	-49.4008	244.603	37.549	1	37.877	1	4.2381	1	33.8714	1	2127.33	1	2291.5	1		1		1		1		1		1
ANTXXI/3	591	B	3/19/2004	2.4555	-49.4008	244.603	58.168	1	58.68	1	4.2378	1	33.8715	1	2127.48	1	2291.5	1		1		1		1		1		1
ANTXXI/3	591	B	3/19/2004	2.4555	-49.4008	244.603	80.3	1	81.011	1	4.2146	1	33.8715	1	2128.81	1	2290	1		1		1		1		1		1
ANTXXI/3	591	B	3/19/2004	2.4555	-49.4008	244.603	99.594	1	100.479	1	3.9888	1	33.8803	1	2139.89	1	2292.9	1		1		1		1		1		1
ANTXXI/3	591	B	3/19/2004	2.4555	-49.4008	244.603	109.012	1	109.984	1	3.3914	1	33.9088	1	2147.55	1	2293.2	1		1		1		1		1		1
ANTXXI/3	591	B	3/19/2004	2.4555	-49.4008	244.603	120.717	1	121.797	1	3.0894	1	33.9204	1	2152.49	1	2291.4	1		1		1		1		1		1
ANTXXI/3	591	B	3/19/2004	2.4555	-49.4008	244.603	146.353	1	147.672	1	2.5514	1	33.9433	1	2160.52	1	2292	1		1		1		1		1		1
ANTXXI/3	591	B	3/19/2004	2.4555	-49.4008	244.603	201.741	1	203.586	1	1.3736	1	34.021	1	2180.1	1	2296.9	1		1		1		1		1		1
ANTXXI/3	591	B	3/19/2004	2.4555	-49.4008	244.603	244.603	1	246.866	1	1.0862	1	34.084	1	2191.05	1	2300.8	1		1		1		1		1		1
