Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	587b	B	3/18/2004	2.1002	-49.518	1000.004	60.265	1	60.795	1	4.3074	1	33.8614	1	2132.3	1		1		1		1		1		1		1
ANTXXI/3	587b	B	3/18/2004	2.1002	-49.518	1000.004	121.172	1	122.256	1	3.7346	1	33.8881	1	2142.85	1		1		1		1		1		1		1
ANTXXI/3	587b	B	3/18/2004	2.1002	-49.518	1000.004	149.072	1	150.416	1	2.2047	1	33.962	1	2166.22	1		1		1		1		1		1		1
ANTXXI/3	587b	B	3/18/2004	2.1002	-49.518	1000.004	200.412	1	202.244	1	1.2346	1	34.0423	1	2184.61	1		1		1		1		1		1		1
ANTXXI/3	587b	B	3/18/2004	2.1002	-49.518	1000.004	252.777	1	255.12	1	1.1533	1	34.1309	1	2201.35	1		1		1		1		1		1		1
ANTXXI/3	587b	B	3/18/2004	2.1002	-49.518	1000.004	300.447	1	303.267	1	1.3784	1	34.2173	1	2214.23	1		1		1		1		1		1		1
ANTXXI/3	587b	B	3/18/2004	2.1002	-49.518	1000.004	399.38	1	403.227	1	1.8146	1	34.3853	1	2240.71	1		1		1		1		1		1		1
ANTXXI/3	587b	B	3/18/2004	2.1002	-49.518	1000.004	501.287	1	506.24	1	1.9733	1	34.4815	1	2252.56	1		1		1		1		1		1		1
ANTXXI/3	587b	B	3/18/2004	2.1002	-49.518	1000.004	598.761	1	604.821	1	2.0853	1	34.5635	1	2259.48	1		1		1		1		1		1		1
ANTXXI/3	587b	B	3/18/2004	2.1002	-49.518	1000.004	751.313	1	759.197	1	2.1686	1	34.6346	1	2259.82	1		1		1		1		1		1		1
ANTXXI/3	587b	B	3/18/2004	2.1002	-49.518	1000.004	1000.004	1	1011.107	1	2.1043	1	34.6896	1	2257.38	1		1		1		1		1		1		1
