Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	570a	B	3/14/2004	2.0583	-49.4145	248.342	10.638	1	10.731	1	4.3649	1	33.87	1	2125.58	1	2289	1		1		1		1		1		1
ANTXXI/3	570a	B	3/14/2004	2.0583	-49.4145	248.342	20.562	1	20.741	1	4.3232	1	33.8688	1	2125.7	1	2288.6	1		1		1		1		1		1
ANTXXI/3	570a	B	3/14/2004	2.0583	-49.4145	248.342	31.224	1	31.497	1	4.3195	1	33.8692	1	2125.42	1	2288.3	1		1		1		1		1		1
ANTXXI/3	570a	B	3/14/2004	2.0583	-49.4145	248.342	39.761	1	40.109	1	4.3017	1	33.8705	1	2125.71	1	2288.6	1		1		1		1		1		1
ANTXXI/3	570a	B	3/14/2004	2.0583	-49.4145	248.342	60.679	1	61.213	1	4.2518	1	33.8724	1	2127.84	1	2290.4	1		1		1		1		1		1
ANTXXI/3	570a	B	3/14/2004	2.0583	-49.4145	248.342	79.203	1	79.903	1	4.1699	1	33.8749	1	2131.48	1	2289.5	1		1		1		1		1		1
ANTXXI/3	570a	B	3/14/2004	2.0583	-49.4145	248.342	89.461	1	90.254	1	4.1184	1	33.877	1	2133.66	1	2288.7	1		1		1		1		1		1
ANTXXI/3	570a	B	3/14/2004	2.0583	-49.4145	248.342	99.181	1	100.063	1	3.9689	1	33.8828	1	2136.82	1	2289.3	1		1		1		1		1		1
ANTXXI/3	570a	B	3/14/2004	2.0583	-49.4145	248.342	119.226	1	120.292	1	3.4385	1	33.8946	1	2153.02	1	2290.2	1		1		1		1		1		1
ANTXXI/3	570a	B	3/14/2004	2.0583	-49.4145	248.342	148.956	1	150.299	1	2.0239	1	33.973	1	2168.98	1	2291.1	1		1		1		1		1		1
ANTXXI/3	570a	B	3/14/2004	2.0583	-49.4145	248.342	199.709	1	201.534	1	1.1707	1	34.0438	1	2189.53	1	2294.9	1		1		1		1		1		1
ANTXXI/3	570a	B	3/14/2004	2.0583	-49.4145	248.342	248.342	1	250.641	1	1.0825	1	34.1056	1	2196.91	1	2299.4	1		1		1		1		1		1
