Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	544h	B	03/06/2004	1.9612	-49.4807	150.207	10.457	1	10.548	1	4.0978	1	33.8741	1	2127.51	1		1		1		1		1		1
ANTXXI/3	544h	B	03/06/2004	1.9612	-49.4807	150.207	19.868	1	20.041	1	4.0987	1	33.874	1	2128.01	1		1		1		1		1		1
ANTXXI/3	544h	B	03/06/2004	1.9612	-49.4807	150.207	30.217	1	30.481	1	4.0981	1	33.8742	1	2128.89	1		1		1		1		1		1
ANTXXI/3	544h	B	03/06/2004	1.9612	-49.4807	150.207	39.987	1	40.337	1	4.099	1	33.8741	1	2128.81	1		1		1		1		1		1
ANTXXI/3	544h	B	03/06/2004	1.9612	-49.4807	150.207	60.915	1	61.45	1	4.0967	1	33.8756	1	2128.83	1		1		1		1		1		1
ANTXXI/3	544h	B	03/06/2004	1.9612	-49.4807	150.207	79.406	1	80.109	1	4.07	1	33.8773	1	2129.42	1		1		1		1		1		1
ANTXXI/3	544h	B	03/06/2004	1.9612	-49.4807	150.207	99.987	1	100.876	1	3.8006	1	33.8894	1	2138.8	1		1		1		1		1		1
ANTXXI/3	544h	B	03/06/2004	1.9612	-49.4807	150.207	119.817	1	120.889	1	3.5718	1	33.899	1	2145.23	1		1		1		1		1		1
ANTXXI/3	544h	B	03/06/2004	1.9612	-49.4807	150.207	150.207	1	151.561	1	2.6073	1	33.9448	1	2159.17	1		1		1		1		1		1
