Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	581	B	3/16/2004	2.5122	-49.2515	396.322	10.561	1	10.652	1	4.3672	1	33.8639	1	2128.2	1	2286.7	1		1		1		1		1		1
ANTXXI/3	581	B	3/16/2004	2.5122	-49.2515	396.322	19.639	1	19.81	1	4.3672	1	33.8641	1	2127.48	1	2286.4	1		1		1		1		1		1
ANTXXI/3	581	B	3/16/2004	2.5122	-49.2515	396.322	29.36	1	29.616	1	4.3683	1	33.8639	1	2127.97	1	2286.3	1		1		1		1		1		1
ANTXXI/3	581	B	3/16/2004	2.5122	-49.2515	396.322	50.286	1	50.727	1	4.37	1	33.8639	1	2128.18	1	2288.3	1		1		1		1		1		1
ANTXXI/3	581	B	3/16/2004	2.5122	-49.2515	396.322	78.005	1	78.695	1	4.3416	1	33.8652	1	2128.71	1	2287.9	1		1		1		1		1		1
ANTXXI/3	581	B	3/16/2004	2.5122	-49.2515	396.322	99.93	1	100.819	1	4.2497	1	33.8706	1	2129.7	1	2287.7	1		1		1		1		1		1
ANTXXI/3	581	B	3/16/2004	2.5122	-49.2515	396.322	139.218	1	140.469	1	3.8496	1	33.8881	1	2140.22	1	2292.2	1		1		1		1		1		1
ANTXXI/3	581	B	3/16/2004	2.5122	-49.2515	396.322	196.986	1	198.785	1	1.7957	1	33.9849	1	2171.36	1	2291.9	1		1		1		1		1		1
ANTXXI/3	581	B	3/16/2004	2.5122	-49.2515	396.322	248.536	1	250.838	1	1.1435	1	34.0531	1	2187.26	1	2295.6	1		1		1		1		1		1
ANTXXI/3	581	B	3/16/2004	2.5122	-49.2515	396.322	297.872	1	300.666	1	1.1785	1	34.1459	1	2201.09	1	2304.6	1		1		1		1		1		1
ANTXXI/3	581	B	3/16/2004	2.5122	-49.2515	396.322	396.322	1	400.136	1	1.8633	1	34.3717	1	2237.23	1	2319.3	1		1		1		1		1		1
