Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	424	B	2/11/2004	2.257	-49.399	247.685	9.884	1	9.97	1	3.8489	1	33.8953	1	2134.61	1	2289.3	1	0.19	1	0.64	1	19.1	1	1.77	1	24.9	1
ANTXXI/3	424	B	2/11/2004	2.257	-49.399	247.685	20.07	1	20.244	1	3.8496	1	33.8952	1	2134.91	1	2288.4	1	0.19	1	0.66	1	19.1	1	1.76	1	24.8	1
ANTXXI/3	424	B	2/11/2004	2.257	-49.399	247.685	29.256	1	29.511	1	3.847	1	33.8952	1	2135.26	1	2287.8	1	0.19	1	0.60	1	19.0	1	1.74	1	24.9	1
ANTXXI/3	424	B	2/11/2004	2.257	-49.399	247.685	39.844	1	40.193	1	3.8055	1	33.8951	1	2135.56	1	2288.8	1	0.19	1	0.64	1	19.1	1	1.75	1	25.0	1
ANTXXI/3	424	B	2/11/2004	2.257	-49.399	247.685	59.117	1	59.637	1	3.7979	1	33.8956	1	2136.69	1	2287.7	1	0.19	1	0.65	1	19.1	1	1.75	1	25.0	1
ANTXXI/3	424	B	2/11/2004	2.257	-49.399	247.685	79.743	1	80.448	1	3.7755	1	33.8959	1	2136.68	1	2286.9	1	0.19	1	0.74	1	19.1	1	1.80	1	25.0	1
ANTXXI/3	424	B	2/11/2004	2.257	-49.399	247.685	89.434	1	90.227	1	3.7711	1	33.896	1	2136.42	1	2288	1	0.19	1	0.73	1	19.2	1	1.77	1	25.0	1
ANTXXI/3	424	B	2/11/2004	2.257	-49.399	247.685	98.229	1	99.102	1	3.6951	1	33.8972	1	2137.37	1	2288	1								1		1
ANTXXI/3	424	B	2/11/2004	2.257	-49.399	247.685	119.323	1	120.39	1	2.9939	1	33.923	1	2148.62	1	2289.8	1	0.19	1	1.10	1	22.9	1	1.89	1	26.2	1
ANTXXI/3	424	B	2/11/2004	2.257	-49.399	247.685	148.894	1	150.237	1	2.0873	1	33.9597	1	2165.78	1	2290.9	1	0.18	1	0.93	1	27.5	1	2.07	1	28.6	1
ANTXXI/3	424	B	2/11/2004	2.257	-49.399	247.685	199.163	1	200.983	1	1.0143	1	34.0496	1	2184.2	1	2294.5	1	0.03	1	0.08	1	33.5	1	2.25	1	31.7	1
ANTXXI/3	424	B	2/11/2004	2.257	-49.399	247.685	247.685	1	249.978	1	1.0031	1	34.1244	1	2195.94	1	2300.3	1	0.02	1	0.07	1	39.3	1	2.38	1	33.1	1
