Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	580b	B	3/16/2004	2.2878	-49.1217	792.597	59.095	1	59.614	1	4.2654	1	33.8717	1	2124.03	1		1		1		1		1		1		1
ANTXXI/3	580b	B	3/16/2004	2.2878	-49.1217	792.597	117.561	1	118.611	1	3.6637	1	33.8964	1	2141.93	1		1		1		1		1		1		1
ANTXXI/3	580b	B	3/16/2004	2.2878	-49.1217	792.597	150.187	1	151.542	1	2.8139	1	33.9327	1	2157.01	1		1		1		1		1		1		1
ANTXXI/3	580b	B	3/16/2004	2.2878	-49.1217	792.597	196.79	1	198.587	1	1.6673	1	33.9932	1	2174.05	1		1		1		1		1		1		1
ANTXXI/3	580b	B	3/16/2004	2.2878	-49.1217	792.597	248.377	1	250.676	1	1.1264	1	34.0602	1	2186.83	1		1		1		1		1		1		1
ANTXXI/3	580b	B	3/16/2004	2.2878	-49.1217	792.597	296.939	1	299.724	1	1.1828	1	34.1434	1	2198.22	1		1		1		1		1		1		1
ANTXXI/3	580b	B	3/16/2004	2.2878	-49.1217	792.597	347.737	1	351.042	1	1.4509	1	34.237	1	2214.82	1		1		1		1		1		1		1
ANTXXI/3	580b	B	3/16/2004	2.2878	-49.1217	792.597	396.744	1	400.562	1	1.8785	1	34.3627	1	2233.83	1		1		1		1		1		1		1
ANTXXI/3	580b	B	3/16/2004	2.2878	-49.1217	792.597	495.324	1	500.211	1	2.0138	1	34.4746	1	2241.7	1		1		1		1		1		1		1
ANTXXI/3	580b	B	3/16/2004	2.2878	-49.1217	792.597	594.154	1	600.16	1	2.1041	1	34.5432	1	2254.5	1		1		1		1		1		1		1
ANTXXI/3	580b	B	3/16/2004	2.2878	-49.1217	792.597	792.597	1	800.995	1	2.188	1	34.6345	1	2255.1	1		1		1		1		1		1		1
