Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	546a	B	03/09/2004	2.1893	-49.4047	249.718	9.72	1	9.804	1	4.2374	1	33.8572	1	2130.6	1	2283.3	1		1		1		1		1		1
ANTXXI/3	546a	B	03/09/2004	2.1893	-49.4047	249.718	20.723	1	20.903	1	4.23	1	33.8571	1	2130.57	1	2285.9	1		1		1		1		1		1
ANTXXI/3	546a	B	03/09/2004	2.1893	-49.4047	249.718	41.451	1	41.814	1	4.2163	1	33.8586	1	2131.35	1	2285.9	1		1		1		1		1		1
ANTXXI/3	546a	B	03/09/2004	2.1893	-49.4047	249.718	59.605	1	60.129	1	4.1787	1	33.8629	1	2132.82	1	2291.5	1		1		1		1		1		1
ANTXXI/3	546a	B	03/09/2004	2.1893	-49.4047	249.718	81.933	1	82.658	1	4.1417	1	33.8658	1	2140.2	1	2289.5	1		1		1		1		1		1
ANTXXI/3	546a	B	03/09/2004	2.1893	-49.4047	249.718	101.403	1	102.305	1	3.7841	1	33.8864	1	2147.16	1	2292.9	1		1		1		1		1		1
ANTXXI/3	546a	B	03/09/2004	2.1893	-49.4047	249.718	108.572	1	109.54	1	3.4798	1	33.8984	1	2156	1	2293.4	1		1		1		1		1		1
ANTXXI/3	546a	B	03/09/2004	2.1893	-49.4047	249.718	118.679	1	119.74	1	2.7665	1	33.9335	1	2174.3	1	2290.7	1		1		1		1		1		1
ANTXXI/3	546a	B	03/09/2004	2.1893	-49.4047	249.718	149.462	1	150.809	1	1.6818	1	33.9976	1	2179.73	1	2292.7	1		1		1		1		1		1
ANTXXI/3	546a	B	03/09/2004	2.1893	-49.4047	249.718	170.932	1	172.482	1	1.3021	1	34.039	1			2295.9	1		1		1		1		1		1
ANTXXI/3	546a	B	03/09/2004	2.1893	-49.4047	249.718	198.771	1	200.587	1	1.1561	1	34.0668	1	2190.4	1	2296.9	1		1		1		1		1		1
ANTXXI/3	546a	B	03/09/2004	2.1893	-49.4047	249.718	249.718	1	252.03	1	1.1996	1	34.1548	1	2203.56	1	2304.3	1		1		1		1		1		1
