Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	544g	B	03/06/2004	1.9853	-49.4902	347.407	40.498	1	40.852	1	4.098	1	33.8744	1	2127.59	1		1		1		1		1		1
ANTXXI/3	544g	B	03/06/2004	1.9853	-49.4902	347.407	58.707	1	59.223	1	4.0936	1	33.8756	1	2127.03	1		1		1		1		1		1
ANTXXI/3	544g	B	03/06/2004	1.9853	-49.4902	347.407	80.203	1	80.912	1	4.0855	1	33.8777	1	2128.53	1		1		1		1		1		1
ANTXXI/3	544g	B	03/06/2004	1.9853	-49.4902	347.407	99.258	1	100.141	1	4.0734	1	33.8781	1	2127.88	1		1		1		1		1		1
ANTXXI/3	544g	B	03/06/2004	1.9853	-49.4902	347.407	148.135	1	149.47	1	3.0595	1	33.9198	1	2128.53	1		1		1		1		1		1
ANTXXI/3	544g	B	03/06/2004	1.9853	-49.4902	347.407	199.296	1	201.117	1	1.1818	1	34.0554	1	2129.16	1		1		1		1		1		1
ANTXXI/3	544g	B	03/06/2004	1.9853	-49.4902	347.407	247.595	1	249.887	1	1.1565	1	34.1307	1	2129.09	1		1		1		1		1		1
ANTXXI/3	544g	B	03/06/2004	1.9853	-49.4902	347.407	298.032	1	300.828	1	1.4344	1	34.2413	1	2127.52	1		1		1		1		1		1
ANTXXI/3	544g	B	03/06/2004	1.9853	-49.4902	347.407	347.407	1	350.708	1	1.8187	1	34.3679	1	2150.17	1		1		1		1		1		1
