Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	513a	B	2/27/2004	2.149	-49.617	246.709	9.582	1	9.665	1	4.1878	1	33.8779	1	2124.81	1	2289.3	1	0.18	1	0.04	1	13.8	1	1.62	1	23.6	1
ANTXXI/3	513a	B	2/27/2004	2.149	-49.617	246.709	20.942	1	21.124	1	4.1895	1	33.8778	1	2126.17	1	2289.3	1	0.18	1	0.04	1	13.8	1	1.59	1	23.6	1
ANTXXI/3	513a	B	2/27/2004	2.149	-49.617	246.709	29.269	1	29.524	1	4.1812	1	33.8775	1	2124.98	1	2289.3	1	0.18	1	0.06	1	13.7	1	1.56	1	23.6	1
ANTXXI/3	513a	B	2/27/2004	2.149	-49.617	246.709	39.601	1	39.947	1	4.0026	1	33.8834	1	2130.49	1	2288.2	1										
ANTXXI/3	513a	B	2/27/2004	2.149	-49.617	246.709	51.148	1	51.597	1	3.9794	1	33.8836	1	2133.73	1	2288.4	1	0.19	1	0.22	1	13.9	1	1.62	1	24.1	1
ANTXXI/3	513a	B	2/27/2004	2.149	-49.617	246.709	59.921	1	60.448	1	3.9768	1	33.8835	1	2134.13	1	2291	1	0.18	1	0.51	1	14.4	1	1.68	1	24.4	1
ANTXXI/3	513a	B	2/27/2004	2.149	-49.617	246.709	80.35	1	81.061	1	3.9722	1	33.8834	1	2134.51	1	2288.1	1	0.18	1	0.56	1	14.5	1	1.69	1	24.4	1
ANTXXI/3	513a	B	2/27/2004	2.149	-49.617	246.709	99.502	1	100.387	1	3.9082	1	33.8846	1	2137.07	1	2288.3	1	0.19	1	0.76	1	15.7	1	1.72	1	24.5	1
ANTXXI/3	513a	B	2/27/2004	2.149	-49.617	246.709	119.412	1	120.48	1	3.5754	1	33.8994	1	2143.56	1	2291.4	1	0.19	1	1.06	1	17.8	1	1.78	1	25	1
ANTXXI/3	513a	B	2/27/2004	2.149	-49.617	246.709	148.771	1	150.112	1	2.7477	1	33.9358	1	2156.23	1	2291.2	1	0.2	1	1.28	1	24	1	1.94	1	26.8	1
ANTXXI/3	513a	B	2/27/2004	2.149	-49.617	246.709	198.023	1	199.832	1	1.5298	1	34.0031	1	2174.09	1	2292.5	1	0.11	1	0.29	1	30.6	1	2.14	1	30.3	1
ANTXXI/3	513a	B	2/27/2004	2.149	-49.617	246.709	246.709	1	248.992	1	1.1181	1	34.0719	1	2188.59	1	2295	1	0.02	1	0	1	35.7	1	2.27	1	32.2	1
