Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	544i	B	03/07/2004	1.9483	-49.467	150.843	9.4	1	9.482	1	4.0897	1	33.8744	1	2129.58	1		1		1		1		1		1
ANTXXI/3	544i	B	03/07/2004	1.9483	-49.467	150.843	18.846	1	19.01	1	4.0894	1	33.8741	1	2129.83	1		1		1		1		1		1
ANTXXI/3	544i	B	03/07/2004	1.9483	-49.467	150.843	30.556	1	30.823	1	4.092	1	33.8745	1	2128.63	1		1		1		1		1		1
ANTXXI/3	544i	B	03/07/2004	1.9483	-49.467	150.843	40.824	1	41.181	1	4.094	1	33.8747	1	2130.03	1		1		1		1		1		1
ANTXXI/3	544i	B	03/07/2004	1.9483	-49.467	150.843	61.428	1	61.969	1	4.0837	1	33.877	1	2129.72	1		1		1		1		1		1
ANTXXI/3	544i	B	03/07/2004	1.9483	-49.467	150.843	80.588	1	81.301	1	4.079	1	33.8775	1	2130.74	1		1		1		1		1		1
ANTXXI/3	544i	B	03/07/2004	1.9483	-49.467	150.843	100.637	1	101.533	1	4.0603	1	33.8776	1	2130.6	1		1		1		1		1		1
ANTXXI/3	544i	B	03/07/2004	1.9483	-49.467	150.843	120.594	1	121.673	1	3.6418	1	33.8966	1	2141.53	1		1		1		1		1		1
ANTXXI/3	544i	B	03/07/2004	1.9483	-49.467	150.843	150.843	1	152.204	1	2.7539	1	33.9354	1	2158.12	1		1		1		1		1		1
