Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	514a	B	2/29/2004	2.338	-49.263	248.086	9.863	1	9.949	1	4.2203	1	33.8625	1	2127.4	1	2287.7	1	0.18	1	0.58	1	9.2	1	1.74	1	24.1	1
ANTXXI/3	514a	B	2/29/2004	2.338	-49.263	248.086	19.977	1	20.151	1	4.2026	1	33.8625	1	2127.68	1	2287.7	1	0.18	1	0.57	1	9.1	1	1.72	1	24.1	1
ANTXXI/3	514a	B	2/29/2004	2.338	-49.263	248.086	29.927	1	30.188	1	4.2028	1	33.8625	1	2128.57	1	2285.3	1	0.18	1	0.58	1	9.1	1	1.71	1	24.0	1
ANTXXI/3	514a	B	2/29/2004	2.338	-49.263	248.086	40.12	1	40.471	1	4.187	1	33.8622	1	2127.63	1	2284.79	1	0.18	1	0.61	1	9.1	1	1.72	1	24.0	1
ANTXXI/3	514a	B	2/29/2004	2.338	-49.263	248.086	59.06	1	59.58	1	3.9867	1	33.8733	1	2132.62	1	2287.4	1	0.18	1	0.57	1	9.3	1	1.71	1	24.0	1
ANTXXI/3	514a	B	2/29/2004	2.338	-49.263	248.086	78.674	1	79.369	1	3.796	1	33.8806	1			2287.1	1	0.19	1	1.01	1	12.9	1	1.81	1	24.7	1
ANTXXI/3	514a	B	2/29/2004	2.338	-49.263	248.086	88.27	1	89.052	1	3.7778	1	33.8815	1	2136.57	1	2288.6	1	0.00	1	1.01	1	13.3	1	1.91	1	25.2	1
ANTXXI/3	514a	B	2/29/2004	2.338	-49.263	248.086	98.318	1	99.192	1	3.6322	1	33.8948	1	2140.99	1	2288	1	0.19	1	1.12	1	16.4	1	1.82	1	25.3	1
ANTXXI/3	514a	B	2/29/2004	2.338	-49.263	248.086	118.446	1	119.505	1	3.0285	1	33.9168	1	2150.29	1	2289.4	1	0.19	1	1.16	1	20.4	1	1.96	1	26.6	1
ANTXXI/3	514a	B	2/29/2004	2.338	-49.263	248.086	148.509	1	149.847	1	2.3358	1	33.9474	1	2162.44	1	2290.9	1	0.00	1	0.73	1	26.0	1	2.18	1	29.0	1
ANTXXI/3	514a	B	2/29/2004	2.338	-49.263	248.086	198.028	1	199.837	1	1.284	1	34.0542	1	2181.64	1	2296.2	1	0.02	1	0.05	1	34.0	1	2.29	1	31.8	1
ANTXXI/3	514a	B	2/29/2004	2.338	-49.263	248.086	248.086	1	250.383	1	1.4599	1	34.1821	1	2205.95	1	2300.6	1	0.02	1	0.05	1	44.8	1	2.53	1	34.3	1
