Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	585	B	3/17/2004	2.1152	-49.409	395.46	7.827	1	7.895	1	4.3003	1	33.8618	1	2133.12	1	2287.4	1		1		1		1		1		1
ANTXXI/3	585	B	3/17/2004	2.1152	-49.409	395.46	19.568	1	19.738	1	4.3035	1	33.8617	1	2130.5	1	2291.3	1		1		1		1		1		1
ANTXXI/3	585	B	3/17/2004	2.1152	-49.409	395.46	29.719	1	29.979	1	4.3026	1	33.8617	1	2130.53	1	2288.7	1		1		1		1		1		1
ANTXXI/3	585	B	3/17/2004	2.1152	-49.409	395.46	50.268	1	50.709	1	4.2976	1	33.8619	1	2130.91	1	2287.5	1		1		1		1		1		1
ANTXXI/3	585	B	3/17/2004	2.1152	-49.409	395.46	78.231	1	78.923	1	4.2906	1	33.8629	1	2131.37	1	2286.4	1		1		1		1		1		1
ANTXXI/3	585	B	3/17/2004	2.1152	-49.409	395.46	99.06	1	99.94	1	4.1523	1	33.8691	1	2134.78	1	2287	1		1		1		1		1		1
ANTXXI/3	585	B	3/17/2004	2.1152	-49.409	395.46	137.989	1	139.229	1	3.3071	1	33.9095	1	2150.95	1	2290.8	1		1		1		1		1		1
ANTXXI/3	585	B	3/17/2004	2.1152	-49.409	395.46	196.807	1	198.605	1	1.5113	1	34.0121	1	2177.54	1	2294.1	1		1		1		1		1		1
ANTXXI/3	585	B	3/17/2004	2.1152	-49.409	395.46	248.169	1	250.466	1	1.0852	1	34.0895	1	2193.33	1	2297.9	1		1		1		1		1		1
ANTXXI/3	585	B	3/17/2004	2.1152	-49.409	395.46	296.094	1	298.871	1	1.3479	1	34.1977	1	2210.34	1	2307	1		1		1		1		1		1
ANTXXI/3	585	B	3/17/2004	2.1152	-49.409	395.46	395.46	1	399.265	1	1.8366	1	34.3835	1	2239.31	1	2324.1	1		1		1		1		1		1
