Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	580a	B	3/16/2004	2.2547	-49.1322	249.57	9.79	1	9.875	1	4.3147	1	33.8686	1	2121.07	1	2287.8	1		1		1		1		1		1
ANTXXI/3	580a	B	3/16/2004	2.2547	-49.1322	249.57	19.135	1	19.302	1	4.3159	1	33.8686	1	2122.14	1	2286.8	1		1		1		1		1		1
ANTXXI/3	580a	B	3/16/2004	2.2547	-49.1322	249.57	30.557	1	30.823	1	4.3165	1	33.8686	1	2121.69	1	2285.8	1		1		1		1		1		1
ANTXXI/3	580a	B	3/16/2004	2.2547	-49.1322	249.57	39.76	1	40.108	1	4.3174	1	33.8687	1	2121.51	1	2288.7	1		1		1		1		1		1
ANTXXI/3	580a	B	3/16/2004	2.2547	-49.1322	249.57	59.459	1	59.981	1	4.2975	1	33.8703	1	2123.17	1	2289.3	1		1		1		1		1		1
ANTXXI/3	580a	B	3/16/2004	2.2547	-49.1322	249.57	79.676	1	80.381	1	4.1711	1	33.8746	1	2127.72	1	2288.6	1		1		1		1		1		1
ANTXXI/3	580a	B	3/16/2004	2.2547	-49.1322	249.57	90.461	1	91.263	1	4.1512	1	33.8753	1	2128.19	1	2290.7	1		1		1		1		1		1
ANTXXI/3	580a	B	3/16/2004	2.2547	-49.1322	249.57	99.22	1	100.102	1	4.1225	1	33.876	1	2129.11	1	2290	1		1		1		1		1		1
ANTXXI/3	580a	B	3/16/2004	2.2547	-49.1322	249.57	119.801	1	120.872	1	3.72	1	33.8948	1	2140.78	1	2288.7	1		1		1		1		1		1
ANTXXI/3	580a	B	3/16/2004	2.2547	-49.1322	249.57	149.975	1	151.327	1	3.0572	1	33.9227	1	2152.43	1	2291.2	1		1		1		1		1		1
ANTXXI/3	580a	B	3/16/2004	2.2547	-49.1322	249.57	200.693	1	202.528	1	1.5662	1	34.001	1	2173.49	1	2292.3	1		1		1		1		1		1
ANTXXI/3	580a	B	3/16/2004	2.2547	-49.1322	249.57	249.57	1	251.882	1	1.0955	1	34.0678	1	2187.33	1	2297.6	1		1		1		1		1		1
