Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	572	B	3/14/2004	2.0893	-49.4137	248.156	9.708	1	9.792	1	4.4442	1	33.8553	1	2118.83	1		1		1		1		1		1		1
ANTXXI/3	572	B	3/14/2004	2.0893	-49.4137	248.156	19.909	1	20.082	1	4.4332	1	33.8558	1	2118.74	1		1		1		1		1		1		1
ANTXXI/3	572	B	3/14/2004	2.0893	-49.4137	248.156	29.647	1	29.906	1	4.4085	1	33.8570	1	2118.85	1		1		1		1		1		1		1
ANTXXI/3	572	B	3/14/2004	2.0893	-49.4137	248.156	39.655	1	40.002	1	4.3615	1	33.8605	1	2121.99	1		1		1		1		1		1		1
ANTXXI/3	572	B	3/14/2004	2.0893	-49.4137	248.156	60.243	1	60.773	1	4.3352	1	33.8618	1	2122.75	1		1		1		1		1		1		1
ANTXXI/3	572	B	3/14/2004	2.0893	-49.4137	248.156	79.218	1	79.919	1	4.2345	1	33.8687	1	2127.72	1		1		1		1		1		1		1
ANTXXI/3	572	B	3/14/2004	2.0893	-49.4137	248.156	98.748	1	99.626	1	4.1267	1	33.8732	1	2129.66	1		1		1		1		1		1		1
ANTXXI/3	572	B	3/14/2004	2.0893	-49.4137	248.156	138.261	1	139.504	1	3.2972	1	33.9115	1	2146.86	1		1		1		1		1		1		1
ANTXXI/3	572	B	3/14/2004	2.0893	-49.4137	248.156	149.174	1	150.519	1	2.9040	1	33.9275	1	2153.52	1		1		1		1		1		1		1
ANTXXI/3	572	B	3/14/2004	2.0893	-49.4137	248.156	198.212	1	200.023	1	1.5906	1	34.0009	1	2175.24	1		1		1		1		1		1		1
ANTXXI/3	572	B	3/14/2004	2.0893	-49.4137	248.156	248.156	1	250.454	1	1.1259	1	34.1029	1	2194.28	1		1		1		1		1		1		1
