Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	589	B	3/18/2004	1.6167	-49.5898	395.271	21.023	1	21.206	1	4.9748	1	33.8158	1	2120.65	1	2280	1		1		1		1		1		1
ANTXXI/3	589	B	3/18/2004	1.6167	-49.5898	395.271	39.123	1	39.465	1	4.8102	1	33.8241	1	2123.31	1	2277.9	1		1		1		1		1		1
ANTXXI/3	589	B	3/18/2004	1.6167	-49.5898	395.271	61.979	1	62.525	1	4.5794	1	33.8356	1	2126.25	1	2283.2	1		1		1		1		1		1
ANTXXI/3	589	B	3/18/2004	1.6167	-49.5898	395.271	80.612	1	81.325	1	4.1167	1	33.8652	1	2135.03	1	2290.4	1		1		1		1		1		1
ANTXXI/3	589	B	3/18/2004	1.6167	-49.5898	395.271	96.834	1	97.694	1	3.9376	1	33.8734	1	2138.91	1	2287.4	1		1		1		1		1		1
ANTXXI/3	589	B	3/18/2004	1.6167	-49.5898	395.271	120.139	1	121.214	1	2.9397	1	33.8866	1	2146.09	1	2282.8	1		1		1		1		1		1
ANTXXI/3	589	B	3/18/2004	1.6167	-49.5898	395.271	150.028	1	151.381	1	1.9497	1	33.9404	1	2162.52	1	2308.3	1		1		1		1		1		1
ANTXXI/3	589	B	3/18/2004	1.6167	-49.5898	395.271	199.298	1	201.119	1	1.993	1	34.0523	1	2175.09	1	2289.9	1		1		1		1		1		1
ANTXXI/3	589	B	3/18/2004	1.6167	-49.5898	395.271	247.366	1	249.655	1	2.0421	1	34.1105	1	2184.02	1	2294.4	1		1		1		1		1		1
ANTXXI/3	589	B	3/18/2004	1.6167	-49.5898	395.271	296.083	1	298.86	1	2.134	1	34.1726	1	2196.27	1	2298.1	1		1		1		1		1		1
ANTXXI/3	589	B	3/18/2004	1.6167	-49.5898	395.271	346.877	1	350.173	1	2.224	1	34.2198	1	2205.77	1	2304.6	1		1		1		1		1		1
ANTXXI/3	589	B	3/18/2004	1.6167	-49.5898	395.271	395.271	1	399.074	1	2.2898	1	34.2579	1	2212.29	1	2306	1		1		1		1		1		1
