Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	587a	B	3/17/2004	2.112	-49.5298	246.186	9.357	1	9.438	1	4.3138	1	33.8626	1	2130.51	1	2287.3	1		1		1		1		1		1
ANTXXI/3	587a	B	3/17/2004	2.112	-49.5298	246.186	19.601	1	19.772	1	4.3129	1	33.863	1	2129.82	1	2289.9	1		1		1		1		1		1
ANTXXI/3	587a	B	3/17/2004	2.112	-49.5298	246.186	28.468	1	28.716	1	4.3028	1	33.8648	1	2130.61	1	2287.2	1		1		1		1		1		1
ANTXXI/3	587a	B	3/17/2004	2.112	-49.5298	246.186	39.529	1	39.875	1	4.2873	1	33.8646	1	2129.62	1	2291.5	1		1		1		1		1		1
ANTXXI/3	587a	B	3/17/2004	2.112	-49.5298	246.186	56.496	1	56.992	1	4.2728	1	33.8633	1	2130.51	1	2288.7	1		1		1		1		1		1
ANTXXI/3	587a	B	3/17/2004	2.112	-49.5298	246.186	78.199	1	78.89	1	4.2361	1	33.8634	1	2132.34	1	2290	1		1		1		1		1		1
ANTXXI/3	587a	B	3/17/2004	2.112	-49.5298	246.186	97.619	1	98.486	1	4.0066	1	33.8738	1	2137.27	1	2291.4	1		1		1		1		1		1
ANTXXI/3	587a	B	3/17/2004	2.112	-49.5298	246.186	108.765	1	109.734	1	3.4003	1	33.903	1	2148.34	1	2294.4	1		1		1		1		1		1
ANTXXI/3	587a	B	3/17/2004	2.112	-49.5298	246.186	117.648	1	118.699	1	3.3203	1	33.9086	1	2151.16	1	2293.8	1		1		1		1		1		1
ANTXXI/3	587a	B	3/17/2004	2.112	-49.5298	246.186	146.523	1	147.843	1	2.7554	1	33.9391	1	2159.73	1	2295	1		1		1		1		1		1
ANTXXI/3	587a	B	3/17/2004	2.112	-49.5298	246.186	199.01	1	200.829	1	1.725	1	33.9888	1	2174.97	1		1		1		1		1		1		1
ANTXXI/3	587a	B	3/17/2004	2.112	-49.5298	246.186	246.186	1	248.465	1	1.1133	1	34.0777	1	2189.56	1	2299.4	1		1		1		1		1		1
