Cruise	Station	Type	mon/day/yr	Lon (E)	Lat (N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	544k	B	03/07/2004	1.8957	-49.4263	250.384	10.162	1	10.25	1	4.1004	1	33.8745	1	2128.71	1		1		1		1		1		1
ANTXXI/3	544k	B	03/07/2004	1.8957	-49.4263	250.384	20.878	1	21.06	1	4.0931	1	33.8747	1	2128.25	1		1		1		1		1		1
ANTXXI/3	544k	B	03/07/2004	1.8957	-49.4263	250.384	30.179	1	30.442	1	4.091	1	33.8747	1	2128.33	1		1		1		1		1		1
ANTXXI/3	544k	B	03/07/2004	1.8957	-49.4263	250.384	38.52	1	38.856	1	4.0902	1	33.8748	1	2128.09	1		1		1		1		1		1
ANTXXI/3	544k	B	03/07/2004	1.8957	-49.4263	250.384	59.847	1	60.373	1	4.0864	1	33.8754	1	2129.18	1		1		1		1		1		1
ANTXXI/3	544k	B	03/07/2004	1.8957	-49.4263	250.384	79.849	1	80.556	1	4.079	1	33.8761	1	2129.62	1		1		1		1		1		1
ANTXXI/3	544k	B	03/07/2004	1.8957	-49.4263	250.384	100.189	1	101.08	1	3.8279	1	33.8877	1	2139.04	1		1		1		1		1		1
ANTXXI/3	544k	B	03/07/2004	1.8957	-49.4263	250.384	110.627	1	111.613	1	3.5016	1	33.9014	1	2146.5	1		1		1		1		1		1
ANTXXI/3	544k	B	03/07/2004	1.8957	-49.4263	250.384	119.222	1	120.287	1	3.3334	1	33.9119	1	2148.81	1		1		1		1		1		1
ANTXXI/3	544k	B	03/07/2004	1.8957	-49.4263	250.384	148.939	1	150.282	1	2.3843	1	33.9527	1	2164.05	1		1		1		1		1		1
ANTXXI/3	544k	B	03/07/2004	1.8957	-49.4263	250.384	199.312	1	201.133	1	1.4985	1	34.0078	1	2174.51	1		1		1		1		1		1
ANTXXI/3	544k	B	03/07/2004	1.8957	-49.4263	250.384	250.384	1	252.704	1	1.0829	1	34.0869	1	2189.44	1		1		1		1		1		1
