Cruise	Station	Type	mon/day/yr	Lon (E)	Lat (N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	543a	B	03/04/2004	2.4563	-49.4712	790.632	248.097	1	250.394	1	1.1509	1	34.1046	1	2191.17	1	0.02	1	0.02	1	37.3	1	2.47	1	33.5	1
ANTXXI/3	543a	B	03/04/2004	2.4563	-49.4712	790.632	297.139	1	299.926	1	1.6057	1	34.2202	1	414.02	1	0.02	1	0	1	46.3	1	2.67	1	35.7	1
ANTXXI/3	543a	B	03/04/2004	2.4563	-49.4712	790.632	347.268	1	350.568	1	1.9254	1	34.3273	1	2227.54	1	0.02	1	-0.01	1	54.9	1	2.83	1	37.3	1
ANTXXI/3	543a	B	03/04/2004	2.4563	-49.4712	790.632	396.405	1	400.22	1	2.1879	1	34.4119	1	2231.45	1	0.01	1	0.05	1	61.5	1	2.89	1	38	1
ANTXXI/3	543a	B	03/04/2004	2.4563	-49.4712	790.632	493.514	1	498.381	1	2.2149	1	34.4909	1	2249.64	1	0.01	1	0.07	1	68.2	1	2.89	1	38.1	1
ANTXXI/3	543a	B	03/04/2004	2.4563	-49.4712	790.632	594.456	1	600.466	1	2.2022	1	34.5369	1	2252.71	1	0.01	1	0.06	1	71.3	1	2.89	1	37.9	1
ANTXXI/3	543a	B	03/04/2004	2.4563	-49.4712	790.632	691.987	1	699.149	1	2.4155	1	34.6132	1	2250.92	1	0	1	0.05	1	71.2	1	2.77	1	36.5	1
ANTXXI/3	543a	B	03/04/2004	2.4563	-49.4712	790.632	790.632	1	799.005	1	2.3695	1	34.6394	1	2254.13	1	0	1	0.04	1	74.2	1	2.71	1	36.2	1
