Cruise	Station	Type	mon/day/yr	Lon (E)	Lat (N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	544m	B	03/07/2004	1.8663	-49.378	989.249	249.382	1	251.692	1	1.0796	1	34.0863	1	2187.76	1		1		1		1		1		1
ANTXXI/3	544m	B	03/07/2004	1.8663	-49.378	989.249	298.218	1	301.015	1	1.2139	1	34.17	1	2201.41	1		1		1		1		1		1
ANTXXI/3	544m	B	03/07/2004	1.8663	-49.378	989.249	346.718	1	350.012	1	1.5166	1	34.2652	1	2218.83	1		1		1		1		1		1
ANTXXI/3	544m	B	03/07/2004	1.8663	-49.378	989.249	396.58	1	400.397	1	1.8303	1	34.3771	1	2233.99	1		1		1		1		1		1
ANTXXI/3	544m	B	03/07/2004	1.8663	-49.378	989.249	493.426	1	498.292	1	2.0043	1	34.4794	1	2251.38	1		1		1		1		1		1
ANTXXI/3	544m	B	03/07/2004	1.8663	-49.378	989.249	594.596	1	600.607	1	2.0835	1	34.551	1	2249.1	1		1		1		1		1		1
ANTXXI/3	544m	B	03/07/2004	1.8663	-49.378	989.249	742.295	1	750.069	1	2.14	1	34.6223	1	2253.86	1		1		1		1		1		1
ANTXXI/3	544m	B	03/07/2004	1.8663	-49.378	989.249	989.249	1	1000.207	1	2.0955	1	34.6983	1	2250.46	1		1		1		1		1		1
