                       UTC	     Lon	     Lat	  TdTdTd
Mar  8 2004  9:00:00:000PM	     1.8	   -49.6	     5.4	
Mar  9 2004 12:00:00:000AM	     1.6	   -49.4	     4.6	
Mar  9 2004  3:00:00:000AM	     1.6	   -49.1	     4.5	
Mar  9 2004  6:00:00:000AM	     2.3	   -49.1	     4.5	
Mar  9 2004  9:00:00:000AM	     2.3	   -48.9	     4.1	
Mar  9 2004 12:00:00:000PM	     2.2	   -49.3	     3.5	
Mar  9 2004  3:00:00:000PM	     2.1	   -49.4	     2.8	
Mar  9 2004  6:00:00:000PM	     2.1	   -49.4	    -0.1	
Mar  9 2004  9:00:00:000PM	     2.1	   -49.4	    -1.2	
Mar 10 2004 12:00:00:000AM	     2.1	   -49.4	    -3.7	
Mar 10 2004  3:00:00:000AM	     2.0	   -49.4	    -3.3	
Mar 10 2004  6:00:00:000AM	     2.0	   -49.3	    -3.5	
Mar 10 2004  9:00:00:000AM	     2.1	   -49.2	    -2.6	
Mar 10 2004 12:00:00:000PM	     2.2	   -49.2	    -1.8	
Mar 10 2004  3:00:00:000PM	     2.4	   -49.1	     1.1	
Mar 10 2004  6:00:00:000PM	     2.5	   -49.0	     2.4	
Mar 10 2004  9:00:00:000PM	     2.5	   -49.1	     3.1	
Mar 11 2004 12:00:00:000AM	     2.2	   -49.2	     2.7	
Mar 11 2004  3:00:00:000AM	     2.5	   -49.3	     3.9	
Mar 11 2004  6:00:00:000AM	     2.2	   -49.2	     5.2	
Mar 11 2004  9:00:00:000AM	     2.3	   -49.2	     5.9	
Mar 11 2004 12:00:00:000PM	     2.3	   -49.2	     6.2	
Mar 11 2004  3:00:00:000PM	     2.5	   -49.5	     5.6	
Mar 11 2004  6:00:00:000PM	     2.4	   -49.4	     5.2	
Mar 11 2004  9:00:00:000PM	     2.4	   -49.4	     6.2	
Mar 12 2004 12:00:00:000AM	     2.4	   -49.4	     7.2	
Mar 12 2004  3:00:00:000AM	     2.3	   -49.4	     7.0	
Mar 12 2004  6:00:00:000AM	     2.3	   -49.5	     5.0	
Mar 12 2004  9:00:00:000AM	     2.3	   -49.5	     4.9	
Mar 12 2004 12:00:00:000PM	     2.3	   -49.6	     4.6	
Mar 12 2004  3:00:00:000PM	     2.3	   -49.6	     0.5	
Mar 12 2004  6:00:00:000PM	     2.4	   -49.5	     3.8	
Mar 12 2004  9:00:00:000PM	     2.1	   -49.5	     6.4	
Mar 13 2004 12:00:00:000AM	     2.0	   -49.4	        	
Mar 13 2004  3:00:00:000AM	     2.2	   -49.4	     6.5	
Mar 13 2004  6:00:00:000AM	     2.2	   -49.4	     6.9	
Mar 13 2004  9:00:00:000AM	     2.3	   -49.5	     6.6	
Mar 13 2004 12:00:00:000PM	     2.4	   -49.6	        	
Mar 13 2004  3:00:00:000PM	     2.5	   -49.8	        	
Mar 13 2004  6:00:00:000PM	     2.6	   -49.9	        	
Mar 13 2004  9:00:00:000PM	     2.5	   -49.8	     7.3	
Mar 14 2004 12:00:00:000AM	     2.2	   -49.5	        	
Mar 14 2004  3:00:00:000AM	     2.0	   -49.4	        	
Mar 14 2004  6:00:00:000AM	     2.0	   -49.4	     5.0	
Mar 14 2004  9:00:00:000AM	     2.0	   -49.3	        	
Mar 14 2004 12:00:00:000PM	     2.0	   -49.3	     3.9	
Mar 14 2004  3:00:00:000PM	     2.0	   -49.3	     3.4	
Mar 14 2004  6:00:00:000PM	     2.1	   -49.4	     3.7	
Mar 14 2004  9:00:00:000PM	     2.0	   -49.4	     2.3	
Mar 15 2004 12:00:00:000AM	     1.6	   -49.4	    -0.4	
Mar 15 2004  3:00:00:000AM	     1.9	   -49.3	    -0.6	
Mar 15 2004  6:00:00:000AM	     2.5	   -49.3	        	
Mar 15 2004  9:00:00:000AM	     2.2	   -49.1	    -0.5	
Mar 15 2004 12:00:00:000PM	     1.8	   -49.1	    -0.6	
Mar 15 2004  3:00:00:000PM	     1.8	   -48.9	    -0.9	
Mar 15 2004  6:00:00:000PM	     2.3	   -49.0	    -0.9	
Mar 15 2004  9:00:00:000PM	     2.1	   -49.1	    -0.2	
Mar 16 2004 12:00:00:000AM	     2.2	   -49.1	     0.9	
Mar 16 2004  3:00:00:000AM	     2.2	   -49.1	     1.1	
Mar 16 2004  6:00:00:000AM	     2.2	   -49.1	     1.8	
Mar 16 2004  9:00:00:000AM	     2.2	   -49.1	     2.6	
Mar 16 2004 12:00:00:000PM	     2.3	   -49.1	     3.1	
Mar 16 2004  3:00:00:000PM	     2.3	   -49.1	     3.8	
Mar 16 2004  6:00:00:000PM	     2.4	   -49.2	     4.2	
Mar 16 2004  9:00:00:000PM	     2.4	   -49.2	     4.5	
Mar 17 2004 12:00:00:000AM	     2.3	   -49.2	     4.8	
Mar 17 2004  3:00:00:000AM	     2.2	   -49.2	     5.1	
Mar 17 2004  6:00:00:000AM	     2.1	   -49.2	     5.4	
Mar 17 2004  9:00:00:000AM	     2.1	   -49.4	     5.3	
Mar 17 2004 12:00:00:000PM	     2.4	   -49.3	     5.2	
Mar 17 2004  3:00:00:000PM	     2.3	   -49.3	     5.4	
Mar 17 2004  6:00:00:000PM	     2.1	   -49.5	     5.7	
Mar 17 2004  9:00:00:000PM	     2.0	   -49.4	     5.7	
Mar 18 2004 12:00:00:000AM	     2.1	   -49.5	     5.7	
Mar 18 2004  3:00:00:000AM	     2.1	   -49.5	     5.4	
Mar 18 2004  6:00:00:000AM	     2.0	   -49.5	     4.5	
Mar 18 2004  9:00:00:000AM	     1.9	   -49.5	    -1.5	
Mar 18 2004 12:00:00:000PM	     1.8	   -49.5	    -3.6	
Mar 18 2004  3:00:00:000PM	     1.8	   -49.5	    -2.2	
Mar 18 2004  6:00:00:000PM	     1.6	   -49.5	    -2.7	
Mar 18 2004  9:00:00:000PM	     2.3	   -49.4	    -3.5	
Mar 19 2004 12:00:00:000AM	     2.2	   -49.4	    -3.0	
Mar 19 2004  3:00:00:000AM	     2.4	   -49.3	    -4.1	
Mar 19 2004  6:00:00:000AM	     2.4	   -49.4	    -4.5	
Mar 19 2004  9:00:00:000AM	     2.4	   -49.4	    -3.5	
Mar 19 2004 12:00:00:000PM	     2.4	   -49.4	    -3.5	
Mar 19 2004  3:00:00:000PM	     2.4	   -49.4	    -0.9	
Mar 19 2004  6:00:00:000PM	     2.5	   -49.6	    -0.8	
Mar 19 2004  9:00:00:000PM	     2.5	   -49.5	    -2.3	
Mar 20 2004 12:00:00:000AM	     2.4	   -49.4	    -3.7	
Mar 20 2004  3:00:00:000AM	     2.4	   -49.4	    -2.9	
Mar 20 2004  6:00:00:000AM	     2.4	   -49.4	    -1.5	
Mar 20 2004  9:00:00:000AM	     2.4	   -49.4	     1.2	
Mar 20 2004 12:00:00:000PM	     2.4	   -49.4	     2.6	
Mar 20 2004  3:00:00:000PM	     2.4	   -49.4	     2.1	
Mar 20 2004  6:00:00:000PM	     2.4	   -49.4	    -4.5	
Mar 20 2004  9:00:00:000PM	     2.8	   -49.1	    -3.6	
Mar 21 2004 12:00:00:000AM	     3.2	   -48.8	    -4.1	
Mar 21 2004  3:00:00:000AM	     3.6	   -48.5	    -4.4	
Mar 21 2004  6:00:00:000AM	     4.0	   -48.1	    -4.1	
Mar 21 2004  9:00:00:000AM	     4.4	   -47.7	    -1.9	
Mar 21 2004 12:00:00:000PM	     4.7	   -47.2	    -0.2	
Mar 21 2004  3:00:00:000PM	     5.1	   -46.7	     0.3	
Mar 21 2004  6:00:00:000PM	     5.6	   -46.2	     1.6	
Mar 21 2004  9:00:00:000PM	     6.0	   -45.7	     1.1	
Mar 22 2004 12:00:00:000AM	     6.4	   -45.2	     3.1	
Mar 22 2004  3:00:00:000AM	     6.8	   -44.7	     2.6	
Mar 22 2004  6:00:00:000AM	     7.2	   -44.2	     3.3	
Mar 22 2004  9:00:00:000AM	     7.6	   -43.8	     3.3	
Mar 22 2004 12:00:00:000PM	     8.0	   -43.3	     4.3	
Mar 22 2004  3:00:00:000PM	     8.4	   -42.8	     4.7	
Mar 22 2004  6:00:00:000PM	     8.8	   -42.3	     4.7	
Mar 22 2004  9:00:00:000PM	     9.2	   -41.9	     3.1	
Mar 23 2004 12:00:00:000AM	     9.6	   -41.4	     3.7	
Mar 23 2004  3:00:00:000AM	    10.0	   -40.9	     3.4	
Mar 23 2004  6:00:00:000AM	    10.5	   -40.4	     3.4	
Mar 23 2004  9:00:00:000AM	    11.0	   -40.1	     4.7	
Mar 23 2004 12:00:00:000PM	    11.5	   -39.7	     7.5	
Mar 23 2004  3:00:00:000PM	    12.0	   -39.2	    10.1	
Mar 23 2004  6:00:00:000PM	    12.4	   -38.8	     9.7	
Mar 23 2004  9:00:00:000PM	    12.9	   -38.4	    10.2	
Mar 24 2004 12:00:00:000AM	    13.4	   -38.0	    10.8	
Mar 24 2004  3:00:00:000AM	    13.9	   -37.5	    10.9	
Mar 24 2004  6:00:00:000AM	    14.4	   -37.1	    12.0	
Mar 24 2004  9:00:00:000AM	    14.7	   -36.9	    12.3	
Mar 24 2004 12:00:00:000PM	    15.2	   -36.5	    12.8	
Mar 24 2004  3:00:00:000PM	    15.7	   -36.0	    13.1	
Mar 24 2004  6:00:00:000PM	    16.2	   -35.6	    13.6	
Mar 24 2004  9:00:00:000PM	    16.7	   -35.2	    14.1	
Mar 25 2004 12:00:00:000AM	    17.3	   -34.7	    13.4	
Mar 25 2004  3:00:00:000AM	    17.9	   -34.2	    13.9	
