                       UTC	     Lon	     Lat	  TdTdTd
Feb  1 2004  6:00:00:000PM	    18.3	   -49.7	     0.8	
Feb  1 2004  9:00:00:000PM	    18.2	   -49.7	     1.1	
Feb  2 2004 12:00:00:000AM	    18.2	   -49.7	     1.2	
Feb  2 2004  3:00:00:000AM	    18.2	   -49.7	     2.7	
Feb  2 2004  6:00:00:000AM	    18.3	   -49.7	     4.8	
Feb  2 2004  9:00:00:000AM	    18.3	   -49.7	     4.8	
Feb  2 2004 12:00:00:000PM	    18.3	   -49.6	     4.3	
Feb  2 2004  3:00:00:000PM	    18.2	   -49.7	     3.8	
Feb  2 2004  6:00:00:000PM	    18.2	   -49.7	     3.4	
Feb  2 2004  9:00:00:000PM	    18.2	   -49.6	     3.7	
Feb  3 2004 12:00:00:000AM	    18.2	   -49.6	     4.2	
Feb  3 2004  3:00:00:000AM	    18.4	   -49.7	     3.1	
Feb  3 2004  6:00:00:000AM	    18.3	   -49.7	     2.8	
Feb  3 2004  9:00:00:000AM	    18.0	   -49.7	     2.6	
Feb  3 2004 12:00:00:000PM	    17.2	   -49.7	     2.8	
Feb  3 2004  3:00:00:000PM	    16.4	   -49.7	    -0.7	
Feb  3 2004  6:00:00:000PM	    15.8	   -49.7	    -2.8	
Feb  3 2004  9:00:00:000PM	    14.7	   -49.7	    -3.0	
Feb  4 2004 12:00:00:000AM	    13.8	   -49.7	    -1.4	
Feb  4 2004  3:00:00:000AM	    12.9	   -49.7	    -0.3	
Feb  4 2004  6:00:00:000AM	    12.1	   -49.7	    -1.1	
Feb  4 2004  9:00:00:000AM	    11.2	   -49.7	    -0.7	
Feb  4 2004 12:00:00:000PM	    10.3	   -49.7	    -0.6	
Feb  4 2004  3:00:00:000PM	     9.4	   -49.7	     0.4	
Feb  4 2004  6:00:00:000PM	     8.5	   -49.7	     3.2	
Feb  4 2004  9:00:00:000PM	     7.7	   -49.7	     5.3	
Feb  5 2004 12:00:00:000AM	     7.0	   -49.7	     4.6	
Feb  5 2004  3:00:00:000AM	     6.4	   -49.7	     3.1	
Feb  5 2004  6:00:00:000AM	     5.9	   -49.7	     2.1	
Feb  5 2004  9:00:00:000AM	     5.6	   -49.7	     0.8	
Feb  5 2004 12:00:00:000PM	     5.9	   -49.4	     0.5	
Feb  5 2004  3:00:00:000PM	     6.0	   -49.1	     2.1	
Feb  5 2004  6:00:00:000PM	     6.1	   -48.6	     4.0	
Feb  5 2004  9:00:00:000PM	     6.1	   -48.1	     5.3	
Feb  6 2004 12:00:00:000AM	     6.0	   -47.6	     6.2	
Feb  6 2004  3:00:00:000AM	     6.0	   -47.1	     6.9	
