                       UTC	     Lon	     Lat	  dd	      ff
Mar  6 2004  3:00:00:000AM	     2.0	   -49.5	 330	   17.00	
Mar  6 2004  6:00:00:000AM	     2.0	   -49.5	 340	   17.00	
Mar  6 2004  9:00:00:000AM	     2.0	   -49.5	 330	   15.00	
Mar  6 2004 12:00:00:000PM	     2.0	   -49.5	 310	   12.00	
Mar  6 2004  3:00:00:000PM	     2.0	   -49.5	 250	    9.00	
Mar  6 2004  6:00:00:000PM	     1.9	   -49.4	 240	   11.00	
Mar  6 2004  9:00:00:000PM	     1.9	   -49.4	 250	    9.00	
Mar  7 2004 12:00:00:000AM	     1.9	   -49.4	 250	   10.00	
Mar  7 2004  3:00:00:000AM	     1.9	   -49.4	 250	   11.00	
Mar  7 2004  6:00:00:000AM	     1.9	   -49.4	 230	    9.00	
Mar  7 2004  9:00:00:000AM	     1.8	   -49.4	 230	   10.00	
Mar  7 2004 12:00:00:000PM	     1.8	   -49.4	 200	    7.00	
Mar  7 2004  3:00:00:000PM	     1.8	   -49.4	 220	   11.00	
Mar  7 2004  6:00:00:000PM	     1.8	   -49.3	 230	   11.00	
Mar  7 2004  9:00:00:000PM	     1.8	   -49.3	 250	   11.00	
Mar  8 2004 12:00:00:000AM	     1.8	   -49.3	 260	   10.00	
Mar  8 2004  3:00:00:000AM	     2.1	   -49.2	 290	   10.00	
Mar  8 2004  6:00:00:000AM	     1.7	   -49.2	 300	   14.00	
Mar  8 2004  9:00:00:000AM	     1.8	   -49.2	 330	   18.00	
Mar  8 2004 12:00:00:000PM	     2.2	   -49.3	 320	   20.00	
Mar  8 2004  3:00:00:000PM	     2.4	   -49.6	 320	   19.00	
Mar  8 2004  6:00:00:000PM	     2.2	   -49.6	 310	   17.00	
Mar  8 2004  9:00:00:000PM	     1.8	   -49.6	 300	   14.00	
Mar  9 2004 12:00:00:000AM	     1.6	   -49.4	 280	   13.00	
Mar  9 2004  3:00:00:000AM	     1.6	   -49.1	 280	   12.00	
Mar  9 2004  6:00:00:000AM	     2.3	   -49.1	 290	   13.00	
Mar  9 2004  9:00:00:000AM	     2.3	   -48.9	 280	   13.00	
Mar  9 2004 12:00:00:000PM	     2.2	   -49.3	 290	   10.00	
Mar  9 2004  3:00:00:000PM	     2.1	   -49.4	 220	    9.00	
Mar  9 2004  6:00:00:000PM	     2.1	   -49.4	 210	   11.00	
Mar  9 2004  9:00:00:000PM	     2.1	   -49.4	 210	    8.00	
Mar 10 2004 12:00:00:000AM	     2.1	   -49.4	 240	    9.00	
Mar 10 2004  3:00:00:000AM	     2.0	   -49.4	 240	    9.00	
Mar 10 2004  6:00:00:000AM	     2.0	   -49.3	 260	    7.00	
Mar 10 2004  9:00:00:000AM	     2.1	   -49.2	 270	    6.00	
Mar 10 2004 12:00:00:000PM	     2.2	   -49.2	 260	    6.00	
Mar 10 2004  3:00:00:000PM	     2.4	   -49.1	 300	    8.00	
Mar 10 2004  6:00:00:000PM	     2.5	   -49.0	 290	    8.00	
Mar 10 2004  9:00:00:000PM	     2.5	   -49.1	 320	    9.00	
Mar 11 2004 12:00:00:000AM	     2.2	   -49.2	 320	   11.00	
Mar 11 2004  3:00:00:000AM	     2.5	   -49.3	 340	   13.00	
Mar 11 2004  6:00:00:000AM	     2.2	   -49.2	 320	   13.00	
Mar 11 2004  9:00:00:000AM	     2.3	   -49.2	 320	   16.00	
Mar 11 2004 12:00:00:000PM	     2.3	   -49.2	 300	   15.00	
Mar 11 2004  3:00:00:000PM	     2.5	   -49.5	 290	   14.00	
Mar 11 2004  6:00:00:000PM	     2.4	   -49.4	 300	   13.00	
Mar 11 2004  9:00:00:000PM	     2.4	   -49.4	 310	   16.00	
Mar 12 2004 12:00:00:000AM	     2.4	   -49.4	 310	   17.00	
Mar 12 2004  3:00:00:000AM	     2.3	   -49.4	 300	   16.00	
Mar 12 2004  6:00:00:000AM	     2.3	   -49.5	 270	   14.00	
Mar 12 2004  9:00:00:000AM	     2.3	   -49.5	 270	    9.00	
Mar 12 2004 12:00:00:000PM	     2.3	   -49.6	 260	    7.00	
Mar 12 2004  3:00:00:000PM	     2.3	   -49.6	 300	    6.00	
Mar 12 2004  6:00:00:000PM	     2.4	   -49.5	 330	    9.00	
Mar 12 2004  9:00:00:000PM	     2.1	   -49.5	 310	   11.00	
Mar 13 2004 12:00:00:000AM	     2.0	   -49.4	 310	   13.00	
Mar 13 2004  3:00:00:000AM	     2.2	   -49.4	 320	   14.00	
Mar 13 2004  6:00:00:000AM	     2.2	   -49.4	 310	   15.00	
Mar 13 2004  9:00:00:000AM	     2.3	   -49.5	 300	   14.00	
Mar 13 2004 12:00:00:000PM	     2.4	   -49.6	 310	   14.00	
Mar 13 2004  3:00:00:000PM	     2.5	   -49.8	 310	   15.00	
Mar 13 2004  6:00:00:000PM	     2.6	   -49.9	 320	   15.00	
Mar 13 2004  9:00:00:000PM	     2.5	   -49.8	 300	   17.00	
Mar 14 2004 12:00:00:000AM	     2.2	   -49.5	 310	   14.00	
Mar 14 2004  3:00:00:000AM	     2.0	   -49.4	 280	    9.00	
Mar 14 2004  6:00:00:000AM	     2.0	   -49.4	 280	    6.00	
Mar 14 2004  9:00:00:000AM	     2.0	   -49.3	 290	    5.00	
Mar 14 2004 12:00:00:000PM	     2.0	   -49.3	 300	    6.00	
Mar 14 2004  3:00:00:000PM	     2.0	   -49.3	 280	    7.00	
Mar 14 2004  6:00:00:000PM	     2.1	   -49.4	 290	    9.00	
Mar 14 2004  9:00:00:000PM	     2.0	   -49.4	 250	   13.00	
Mar 15 2004 12:00:00:000AM	     1.6	   -49.4	 240	   16.00	
Mar 15 2004  3:00:00:000AM	     1.9	   -49.3	 250	   14.00	
Mar 15 2004  6:00:00:000AM	     2.5	   -49.3	 230	   14.00	
Mar 15 2004  9:00:00:000AM	     2.2	   -49.1	 220	   14.00	
Mar 15 2004 12:00:00:000PM	     1.8	   -49.1	 220	   11.00	
Mar 15 2004  3:00:00:000PM	     1.8	   -48.9	 230	   12.00	
Mar 15 2004  6:00:00:000PM	     2.3	   -49.0	 230	   10.00	
Mar 15 2004  9:00:00:000PM	     2.1	   -49.1	 260	   11.00	
Mar 16 2004 12:00:00:000AM	     2.2	   -49.1	 260	   12.00	
Mar 16 2004  3:00:00:000AM	     2.2	   -49.1	 270	   13.00	
Mar 16 2004  6:00:00:000AM	     2.2	   -49.1	 280	   17.00	
Mar 16 2004  9:00:00:000AM	     2.2	   -49.1	 280	   15.00	
Mar 16 2004 12:00:00:000PM	     2.3	   -49.1	 270	   16.00	
Mar 16 2004  3:00:00:000PM	     2.3	   -49.1	 270	   12.00	
Mar 16 2004  6:00:00:000PM	     2.4	   -49.2	 270	   12.00	
Mar 16 2004  9:00:00:000PM	     2.4	   -49.2	 280	   12.00	
Mar 17 2004 12:00:00:000AM	     2.3	   -49.2	 290	   13.00	
Mar 17 2004  3:00:00:000AM	     2.2	   -49.2	 290	   13.00	
Mar 17 2004  6:00:00:000AM	     2.1	   -49.2	 280	   12.00	
Mar 17 2004  9:00:00:000AM	     2.1	   -49.4	 270	   12.00	
Mar 17 2004 12:00:00:000PM	     2.4	   -49.3	 280	   11.00	
Mar 17 2004  3:00:00:000PM	     2.3	   -49.3	 300	   12.00	
Mar 17 2004  6:00:00:000PM	     2.1	   -49.5	 300	   14.00	
Mar 17 2004  9:00:00:000PM	     2.0	   -49.4	 300	   15.00	
Mar 18 2004 12:00:00:000AM	     2.1	   -49.5	 300	   15.00	
Mar 18 2004  3:00:00:000AM	     2.1	   -49.5	 300	   13.00	
Mar 18 2004  6:00:00:000AM	     2.0	   -49.5	 280	   11.00	
Mar 18 2004  9:00:00:000AM	     1.9	   -49.5	 260	   17.00	
Mar 18 2004 12:00:00:000PM	     1.8	   -49.5	 260	   16.00	
Mar 18 2004  3:00:00:000PM	     1.8	   -49.5	 250	   16.00	
Mar 18 2004  6:00:00:000PM	     1.6	   -49.5	 240	   15.00	
Mar 18 2004  9:00:00:000PM	     2.3	   -49.4	 260	   16.00	
Mar 19 2004 12:00:00:000AM	     2.2	   -49.4	 250	   17.00	
Mar 19 2004  3:00:00:000AM	     2.4	   -49.3	 240	   17.00	
Mar 19 2004  6:00:00:000AM	     2.4	   -49.4	 240	   14.00	
Mar 19 2004  9:00:00:000AM	     2.4	   -49.4	 270	   12.00	
Mar 19 2004 12:00:00:000PM	     2.4	   -49.4	 270	    9.00	
Mar 19 2004  3:00:00:000PM	     2.4	   -49.4	 270	    7.00	
Mar 19 2004  6:00:00:000PM	     2.5	   -49.6	 250	    6.00	
Mar 19 2004  9:00:00:000PM	     2.5	   -49.5	 220	    8.00	
Mar 20 2004 12:00:00:000AM	     2.4	   -49.4	 240	   10.00	
Mar 20 2004  3:00:00:000AM	     2.4	   -49.4	 270	   14.00	
Mar 20 2004  6:00:00:000AM	     2.4	   -49.4	 260	   14.00	
Mar 20 2004  9:00:00:000AM	     2.4	   -49.4	 300	   17.00	
Mar 20 2004 12:00:00:000PM	     2.4	   -49.4	 300	   17.00	
Mar 20 2004  3:00:00:000PM	     2.4	   -49.4	 250	   16.00	
Mar 20 2004  6:00:00:000PM	     2.4	   -49.4	 230	   15.00	
Mar 20 2004  9:00:00:000PM	     2.8	   -49.1	 240	   14.00	
Mar 21 2004 12:00:00:000AM	     3.2	   -48.8	 240	   12.00	
Mar 21 2004  3:00:00:000AM	     3.6	   -48.5	 240	   14.00	
Mar 21 2004  6:00:00:000AM	     4.0	   -48.1	 230	   14.00	
Mar 21 2004  9:00:00:000AM	     4.4	   -47.7	 240	   15.00	
Mar 21 2004 12:00:00:000PM	     4.7	   -47.2	 240	   13.00	
Mar 21 2004  3:00:00:000PM	     5.1	   -46.7	 240	   12.00	
Mar 21 2004  6:00:00:000PM	     5.6	   -46.2	 260	   13.00	
Mar 21 2004  9:00:00:000PM	     6.0	   -45.7	 260	   11.00	
Mar 22 2004 12:00:00:000AM	     6.4	   -45.2	 260	   11.00	
Mar 22 2004  3:00:00:000AM	     6.8	   -44.7	 260	   11.00	
Mar 22 2004  6:00:00:000AM	     7.2	   -44.2	 260	   10.00	
Mar 22 2004  9:00:00:000AM	     7.6	   -43.8	 270	    9.00	
Mar 22 2004 12:00:00:000PM	     8.0	   -43.3	 260	    9.00	
Mar 22 2004  3:00:00:000PM	     8.4	   -42.8	 270	   10.00	
Mar 22 2004  6:00:00:000PM	     8.8	   -42.3	 280	    8.00	
Mar 22 2004  9:00:00:000PM	     9.2	   -41.9	 270	    8.00	
Mar 23 2004 12:00:00:000AM	     9.6	   -41.4	 290	    6.00	
Mar 23 2004  3:00:00:000AM	    10.0	   -40.9	 320	    8.00	
Mar 23 2004  6:00:00:000AM	    10.5	   -40.4	 310	    8.00	
Mar 23 2004  9:00:00:000AM	    11.0	   -40.1	 310	   10.00	
Mar 23 2004 12:00:00:000PM	    11.5	   -39.7	 300	   11.00	
Mar 23 2004  3:00:00:000PM	    12.0	   -39.2	 330	   12.00	
Mar 23 2004  6:00:00:000PM	    12.4	   -38.8	 320	   11.00	
Mar 23 2004  9:00:00:000PM	    12.9	   -38.4	 310	   10.00	
Mar 24 2004 12:00:00:000AM	    13.4	   -38.0	 320	   10.00	
Mar 24 2004  3:00:00:000AM	    13.9	   -37.5	 300	    9.00	
Mar 24 2004  6:00:00:000AM	    14.4	   -37.1	 290	    8.00	
Mar 24 2004  9:00:00:000AM	    14.7	   -36.9	 300	    8.00	
Mar 24 2004 12:00:00:000PM	    15.2	   -36.5	 250	    8.00	
Mar 24 2004  3:00:00:000PM	    15.7	   -36.0	 250	    7.00	
Mar 24 2004  6:00:00:000PM	    16.2	   -35.6	 220	    7.00	
Mar 24 2004  9:00:00:000PM	    16.7	   -35.2	 200	    7.00	
Mar 25 2004 12:00:00:000AM	    17.3	   -34.7	 180	    7.00	
Mar 25 2004  3:00:00:000AM	    17.9	   -34.2	 170	    9.00	
