 DatumUhrzeit                           GeoLaenge             GeoBreite                U_Wind                V_Wind            Temperatur              Taupunkt            Dampfdruck             Luftdruck  GesamtBedeckung 
 28-01-04 09:00:00                          16.00                -50.40                  0.00                 -2.00                  2.80                 -0.40                5.9313               1005.10                6 
 28-01-04 12:00:00                          15.20                -50.50                  4.60                 -3.86                  3.60                  1.80                6.9560               1005.20                6 
 28-01-04 15:00:00                          16.10                -50.30                  6.06                 -3.50                  4.00                  3.40                7.7965               1005.60                9 
 28-01-04 18:00:00                          17.10                -50.10                  9.00                  0.00                  3.50                  3.00                7.5784               1006.50                8 
 28-01-04 21:00:00                          18.00                -49.90                  7.88                 -1.39                  3.60                  2.90                7.5247               1007.20                8 
 29-01-04 00:00:00                          18.90                -49.70                  9.53                 -5.50                  3.60                  1.90                7.0061               1006.80                  
 29-01-04 03:00:00                          18.80                -49.30                  6.50                -11.26                  3.80                  1.30                6.7103               1005.00                  
 29-01-04 06:00:00                          18.00                -49.30                  5.13                -14.10                  5.00                  3.80                8.0202               1002.20                8 
 29-01-04 09:00:00                          17.60                -49.40                  9.96                 -8.36                  5.40                  4.60                8.4845               1001.30                8 
 29-01-04 12:00:00                          17.60                -49.70                 10.83                 -1.91                  4.50                  3.80                8.0202               1001.40                8 
 29-01-04 15:00:00                          17.60                -49.90                  8.86                 -1.56                  4.10                  3.40                7.7965               1003.00                8 
 29-01-04 18:00:00                          17.60                -50.20                  6.13                 -5.14                  3.40                  2.70                7.4184               1003.40                9 
 29-01-04 21:00:00                          17.60                -50.50                  2.39                 -6.58                  3.20                  2.60                7.3657               1003.20                8 
 30-01-04 00:00:00                          18.00                -50.70                  1.56                 -8.86                  3.80                  3.50                7.8519               1001.30                  
 30-01-04 03:00:00                          18.30                -50.50                  1.91                -10.83                  4.40                  4.00                8.1341                999.30                  
 30-01-04 06:00:00                          18.30                -50.10                  3.76                -10.34                  4.70                  4.40                8.3662                998.40                9 
 30-01-04 09:00:00                          18.30                -49.80                  5.00                 -8.66                  4.90                  4.60                8.4845                998.80                9 
 30-01-04 12:00:00                          18.30                -49.50                  8.43                 -7.07                  4.90                  4.60                8.4845               1001.70                9 
 30-01-04 15:00:00                          18.30                -49.30                  8.43                 -7.07                  4.50                  3.90                8.0770               1003.40                7 
 30-01-04 18:00:00                          18.60                -49.20                  6.43                 -7.66                  5.20                  4.90                8.6646               1004.80                8 
