42407 41.8566  2.2586  -49.4050   108
42412 41.9747  2.2634  -49.4042   124
42602 43.5649  2.2670  -49.4842    97
50804 52.4017  2.0437  -49.1887   107
50807 52.5177  2.0387  -49.1714   107
50902 53.2969  2.0075  -49.0014    72
51304 57.8354  2.1385  -49.6206    51
51321 58.3757  1.9192  -49.5538    97
51419 60.2760  2.3389  -49.2625    83
54317 63.5066  2.4577  -49.5208    96
54402 64.6410  2.1229  -49.4748   102
54422 65.5563  2.0216  -49.5118    89
54425 65.6431  2.0087  -49.5072   116
54450 66.3441  1.8974  -49.4381   115
54455 66.5656  1.8845  -49.4140    97
54459 66.7090  1.8643  -49.3963   127
54502 67.3479  1.8564  -49.2470   111
54603 68.5854  2.1747  -49.4107    97
54610 68.7576  2.1485  -49.4408    93
54701 69.2781  2.0383  -49.3708    96
54801 69.3743  2.1549  -49.2919   100
54901 69.4722  2.2563  -49.2199   124
55001 69.5743  2.3722  -49.1506   115
55101 69.6712  2.4854  -49.0836    82
55201 69.7656  2.5987  -49.0153    32
55314 71.3233  2.3721  -49.5338   103
56701 72.4816  2.4407  -49.6701    85
56801 72.6076  2.5691  -49.8333    45
56901 72.7403  2.7003  -49.9958    57
58013 75.4667  2.3266  -49.1254   115
59108 78.5049  2.4195  -49.4316   113   
59313 79.2924  2.4414  -49.4839   110
