Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	4.56	1	4.599	1	4.1847	1	33.8646	1	2129.8	1	0.18	1	0.63	1	9.4	1	1.71	1	24.2	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	35.825	1	36.138	1	4.1404	1	33.8644	1	2130	1	0.18	1	0.63	1	9.4	1	1.69	1	24.2	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	67.364	1	67.958	1	3.9089	1	33.875	1	2135.14	1	0.18	1	0.95	1	11.9	1	1.78	1	24.6	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	108.746	1	109.716	1	3.276	1	33.904	1	2148.4	1	0.19	1	1.25	1	18.1	1	1.96	1	26.1	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	138.47	1	139.715	1	2.2757	1	33.9531	1	2164.1	1	0.15	1	0.77	1	26.4	1	2.16	1	28.8	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	167.86	1	169.381	1	1.6361	1	34	1	2172.9	1	0.08	1	0.23	1	30.5	1	2.29	1	30.7	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	198.589	1	200.403	1	1.2921	1	34.0571	1	2183.39	1	0.02	1	0.10	1	34.9	1	2.40	1	32.1	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	246.277	1	248.556	1	1.3908	1	34.1562	1	2200.3	1	0.02	1	0.04	1	34.4	1	2.37	1	31.9	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	296.306	1	299.085	1	1.6931	1	34.2477	1	2216.4	1	0.02	1	0.03	1	41.7	1	2.55	1	33.7	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	347.125	1	350.423	1	1.8947	1	34.337	1	2230.29	1	0.02	1	0.03	1	49.1	1	2.67	1	35.2	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	396.349	1	400.164	1	1.9164	1	34.3966	1	2240.5	1	0.02	1	0.06	1	57.7	1	2.77	1	36.2	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	445.748	1	450.092	1	2.0813	1	34.4515	1	2246.4	1	0.01	1	0.06	1	63.5	1	2.80	1	37.1	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	494.24	1	499.115	1	2.0927	1	34.4882	1	2250.15	1	0.01	1	0.06	1	67.1	1	2.78	1	37.1	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	594.297	1	600.305	1	2.0922	1	34.5444	1	2255.9	1	0.01	1	0.04	1	70.4	1	2.79	1	37.1	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	691.758	1	698.916	1	2.2564	1	34.6113	1	2254.91	1	0.01	1	0.05	1	75.2	1	2.81	1	37.0	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	792.483	1	800.88	1	2.1995	1	34.6387	1	2255.7	1	0.01	1	0.05	1	76.8	1	2.76	1	36.0	1
ANTXXI/3	514b	B	2/29/2004	2.3445	-49.318	988.963	988.963	1	999.917	1	2.209	1	34.7018	1	2250.08	1	0.00	1	0.06	1	79.3	1	2.72	1	35.6	1

																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
