Cruise	Station	Type	mon/day/yr	Lon (°E)	Lat (°N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	464	B	2/17/2004	2.242	-49.401	196.977	9.455	1	9.537	1	3.8604	1	33.8854	1	2132.83	1	2286.9	1	0.19	1	0.28	1	12.8	1	1.67	1	24.7	1
ANTXXI/3	464	B	2/17/2004	2.242	-49.401	196.977	19.629	1	19.799	1	3.8103	1	33.8878	1	2133.05	1	2289.4	1	0.19	1	0.33	1	13.2	1	1.66	1	24.7	1
ANTXXI/3	464	B	2/17/2004	2.242	-49.401	196.977	40.235	1	40.587	1	3.8069	1	33.8884	1	2133.2	1	2291.1	1	0.19	1	0.34	1	13.2	1	1.67	1	24.7	1
ANTXXI/3	464	B	2/17/2004	2.242	-49.401	196.977	58.08	1	58.59	1	3.8027	1	33.8889	1	2134.3	1			0.19	1	0.38	1	13.6	1	1.71	1	24.8	1
ANTXXI/3	464	B	2/17/2004	2.242	-49.401	196.977	79.199	1	79.899	1	3.7823	1	33.8895	1	2134.85	1	2288.3	1	0.19	1	0.55	1	14.3	1	1.74	1	24.8	1
ANTXXI/3	464	B	2/17/2004	2.242	-49.401	196.977	98.325	1	99.199	1	3.7243	1	33.8942	1	2137.2	1	2287.9	1	0.19	1	0.63	1	15.9	1	1.75	1	24.9	1
ANTXXI/3	464	B	2/17/2004	2.242	-49.401	196.977	148.406	1	149.743	1	2.1686	1	33.9599	1	2160.89	1	2289	1	0.17	1	0.65	1	25.6	1	2.09	1	28.2	1
ANTXXI/3	464	B	2/17/2004	2.242	-49.401	196.977	196.977	1	198.776	1	1.2359	1	34.0765	1	2183.99	1	2295.1	1	0.02	1	-0.02	1	34.8	1	2.30	1	32.1	1
