Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	544l	B	03/07/2004	1.8818	-49.4008	151.177	11.106	1	11.203	1	4.1518	1	33.8748	1	2124.91	1		1		1		1		1		1
ANTXXI/3	544l	B	03/07/2004	1.8818	-49.4008	151.177	20.715	1	20.895	1	4.1376	1	33.8748	1	2124.16	1		1		1		1		1		1
ANTXXI/3	544l	B	03/07/2004	1.8818	-49.4008	151.177	30.031	1	30.293	1	4.1308	1	33.8747	1	2122.59	1		1		1		1		1		1
ANTXXI/3	544l	B	03/07/2004	1.8818	-49.4008	151.177	39.825	1	40.173	1	4.1153	1	33.875	1	2124.45	1		1		1		1		1		1
ANTXXI/3	544l	B	03/07/2004	1.8818	-49.4008	151.177	59.005	1	59.524	1	4.1009	1	33.8753	1	2125.73	1		1		1		1		1		1
ANTXXI/3	544l	B	03/07/2004	1.8818	-49.4008	151.177	79.536	1	80.239	1	4.0964	1	33.8755	1	2128.05	1		1		1		1		1		1
ANTXXI/3	544l	B	03/07/2004	1.8818	-49.4008	151.177	99.576	1	100.461	1	4.0146	1	33.8796	1	2131.4	1		1		1		1		1		1
ANTXXI/3	544l	B	03/07/2004	1.8818	-49.4008	151.177	121.66	1	122.749	1	3.2775	1	33.9105	1	2147.28	1		1		1		1		1		1
ANTXXI/3	544l	B	03/07/2004	1.8818	-49.4008	151.177	151.177	1	152.541	1	2.5814	1	33.9453	1	2158.54	1		1		1		1		1		1
