Cruise	Station	Type	mon/day/yr	Lon (?E)	Lat (?N)	Bot. Depth [m]	Bot. Depth [m]	QF	Pressure	QF	Temperature	QF	Salinity	QF	TCO2	QF	alk	QF	NO2	QF	NH4	QF	Si	QF	PO4	QF	NO3	QF
ANTXXI/3	545	B	3.8.04	1.8437	-49.2482	247.793	9.95	1	10.036	1	4.1209	1	33.8765	1	2122.73	1	2288.6	1		1		1		1		1		1
ANTXXI/3	545	B	3.8.04	1.8437	-49.2482	247.793	20.431	1	20.608	1	4.1207	1	33.8766	1	2116.28	1	2289	1		1		1		1		1		1
ANTXXI/3	545	B	3.8.04	1.8437	-49.2482	247.793	29.194	1	29.448	1	4.1205	1	33.8766	1	2121.77	1	2289.3	1		1		1		1		1		1
ANTXXI/3	545	B	3.8.04	1.8437	-49.2482	247.793	38.703	1	39.042	1	4.1229	1	33.8765	1	2121.7	1	2289.7	1		1		1		1		1		1
ANTXXI/3	545	B	3.8.04	1.8437	-49.2482	247.793	60.471	1	61.003	1	4.1245	1	33.8764	1	2127.76	1	2291.1	1		1		1		1		1		1
ANTXXI/3	545	B	3.8.04	1.8437	-49.2482	247.793	79.797	1	80.503	1	4.1005	1	33.878	1	2123.71	1	2290.8	1		1		1		1		1		1
ANTXXI/3	545	B	3.8.04	1.8437	-49.2482	247.793	97.817	1	98.687	1	4.0006	1	33.8807	1	2131.79	1	2293.2	1		1		1		1		1		1
ANTXXI/3	545	B	3.8.04	1.8437	-49.2482	247.793	108.711	1	109.68	1	3.5599	1	33.8997	1	2142.27	1	2291.9	1		1		1		1		1		1
ANTXXI/3	545	B	3.8.04	1.8437	-49.2482	247.793	119.285	1	120.351	1	3.3396	1	33.9088	1	2144.87	1	2295.4	1		1		1		1		1		1
ANTXXI/3	545	B	3.8.04	1.8437	-49.2482	247.793	148.049	1	149.384	1	2.3188	1	33.9544	1	2160.3	1	2290.1	1		1		1		1		1		1
ANTXXI/3	545	B	3.8.04	1.8437	-49.2482	247.793	197.066	1	198.866	1	1.3302	1	34.0245	1	2175.59	1	2295.6	1		1		1		1		1		1
ANTXXI/3	545	B	3.8.04	1.8437	-49.2482	247.793	247.793	1	250.087	1	1.0839	1	34.0925	1	2188.31	1	2300.4	1		1		1		1		1		1
